INVENTARIO,,,,,,,,,
Fecha de inicio 22/08/2025.,,,,,,,,,
CÓDIGO,PROVEEDOR,DESCRIPCIÓN,STOCK,UBICACIÓN,EQUIVALENCIAS,PRECIO,TOTAL,F. DE CONTROL,
02250129-626,SULLAIR,SWITCH PR SR70/125/3000,1,A,,"$553,30","$553,30",21/05/2026,
02250048-822,SULLAIR,JUNTA PANEL SUPERVISOR II,1,A,,"$70,00","$70,00",21/05/2026,
02250127-175,SULLAIR,KIT REP FILTRO SEP COND s10LF,1,A,,"306,8","$306,80",21/05/2026,
C635-0011-03-ONA,ONAN,IND. NIVEL DE COMBUSTIBLE C300,2,A,,"$160,70","$321,40",21/05/2026,
C635-0011-01-ONA,ONAN,IND. NIVEL DE COMBUSTIBLE,0,A,,"$103,60","$0,00",21/05/2026,
02250136-694,SULLAIR,INDICADOR DE TEMPERATURA,2,B,,"$520,10","$1.040,20",21/05/2026,
1001109498,JLG,MODULE PLAT. CONSOLE P/E45A,1,B,,,"$0,00",31/07/2026,
2200902017,ATLAS,KIT WEAR DRAIN,1,B,,,"$0,00",21/07/2026,
1622-7064-04,ATLAS,VALVULA TERMOSTATICA,1,B,,,"$0,00",21/07/2026,
CWM150E,WEG,CONTACTOR BOBINA ELEC. 110V,2,B,,"$1.258,10","$2.516,20",21/05/2026,
4360470-JLG,SULLAIR,SWITCH IGNITION,1,B,,"$62,70","$62,70",07/07/2026,
LA7 D1064,TELEMECANIQUE,,5,B,,,"$0,00",21/05/2026,
3084891,,,1,B,,,"$0,00",21/05/2026,
4935094,CUMMINS,BOMBIN COMBUSTIBLE p/ QSX15,1,B,,,"$0,00",21/05/2026,
206996,CUMMINS,CORREA DE CAUCHO (C),1,B,,,"$0,00",21/05/2026,
110-3737,ONAN,JUNTA,1,B,,"$67,00","$67,00",21/05/2026,
215041,CUMMINS,TUBE WATER TRANSFERENCE,1,B,,"$160,00","$160,00",21/05/2026,
610128,JLG,MODULE PLAT. CONSOLE P/E45A,1,B,,"$1.933,60","$1.933,60",21/05/2026,
300-4054,ONAN,-,1,B,,,"$0,00",21/05/2026,
0300-5146,CUMMINS,CIRCUIT BOARD,1,B,,"$2.202,60","$2.202,60",21/05/2026,
191-1949-07,ONAN,ARRANQUE 33 AW,1,B,,"$912,50","$912,50",21/05/2026,
02250215-617,IMPORTADO,KIT ELEMENTO SEPARADOR P10,2,B,,"$600,90","$1.201,80",21/05/2026,
S/C,IMPORTADO,VLV SOLENOIDE,1,B,,,"$0,00",21/05/2026,
8250-1505,CUMMINS,-,1,B,,,"$0,00",21/05/2026,
A41018-B&L,-,PUNTAS DE MARTILLO,2,B,,"$53,00","$106,00",21/05/2026,
3904981,CUMMINS,ALT FAN (C),1,B,,"$77,40","$77,40",21/05/2026,
306-4287,CUMMINS,-,2,B,,,"$0,00",21/05/2026,
300-5372,SULLAIR,-,1,B,,,"$0,00",21/05/2026,
300-5985,ONAN,MODULO CONTROL TS1311 P/GT,1,B,,"$2.491,80","$2.491,80",21/05/2026,
0191-2216,ONAN,ARRANCADOR,1,B,,,"$0,00",21/05/2026,
418-0098,ONAN,-,1,B,,,"$0,00",21/05/2026,
307-0623-ONA,ONAN,RELAY (O),1,B,,,"$0,00",21/05/2026,
´03004271,ONAN,ALARM BOARD,1,B,,,"$0,00",21/05/2026,
418-0531,ONAN,-,1,B,,,"$0,00",21/05/2026,
307-9828,ONAN,-,1,B,,,"$0,00",21/05/2026,
302-1147,ONAN,AMMETER (O),1,B,,"$407,30","$407,30",21/05/2026,
307-0845,ONAN,RELAY (O),1,B,,"$101,10","$101,10",21/05/2026,
305-0781,ONAN,RECTIFICADOR (O),1,B,,,"$0,00",21/05/2026,
302-1864,ONAN,AMMETER (O),1,B,,,"$0,00",21/05/2026,
510-0171,ONAN,RETEN (O),4,B,,,"$0,00",21/05/2026,
302-0807,ONAN,METER AMP (O),1,B,,"$255,80","$255,80",21/05/2026,
112-0085,ONAN,RING RETAINING,1,B,,"$9,40","$9,40",21/05/2026,
110-3604,ONAN,RETEN DE VLV. P/5NHD (TELEFE),1,B,,"$20,00","$20,00",21/05/2026,
309-0561,ONAN,PRESSURE SWITCH (O),1,B,,,"$0,00",21/05/2026,
380-4744,CUMMINS,-,1,B,,,"$0,00",21/05/2026,
309-0269,ONAN,SWITCH BAJA TEMP. MOTOR PCC,1,B,,"$160,10","$160,10",21/05/2026,
115-0129,ONAN,VALVULA DE ADMISION,1,B,,,"$0,00",21/05/2026,
308-0784,ONAN,SWITCH SELECTOR (O),1,B,,"$88,90","$88,90",21/05/2026,
353-0094-01,ONAN,RESISTOR (O),1,B,,"$47,90","$47,90",21/05/2026,
307-0628,ONAN,RELAY (O),1,B,,,"$0,00",21/05/2026,
115-0127,ONAN,BALL PIVOT,1,B,,,"$0,00",21/05/2026,
1812635Q169,ONAN,-,1,B,,,"$0,00",21/05/2026,
110-1220,ONAN,RETAINER VALVE SPRING,1,B,,"$107,20","$107,20",21/05/2026,
110-1870,ONAN,EXHAUST,1,B,,"$94,00","$94,00",21/05/2026,
115-0128,ONAN,VALVULA DE ESCAPE,1,B,,,"$0,00",21/05/2026,
320-1601-01,ONAN,-,1,B,,,"$0,00",21/05/2026,
302-1844,ONAN,METER AMP-DC (O),1,B,,,"$0,00",21/05/2026,
250000-103,ONAN,LUZ PILOTO ROJO XB4-BV64,1,B,,,"$0,00",21/05/2026,
505-0089,ONAN,-,3,B,,,"$0,00",21/05/2026,
300-3115-02,ONAN,BOARD 60 SECONDS (O),1,B,,"$1.054,00","$1.054,00",21/05/2026,
302-1642,ONAN,VOLTMETER (O),1,B,,"$414,00","$414,00",21/05/2026,
357-0093,ONAN,RECTIFICADOR,1,B,,,"$0,00",21/05/2026,
193-0375,ONAN,SENSOR DE TEMPERATURA.-,1,B,,"$68,40","$68,40",21/05/2026,
312-0203,ONAN,CAPACITOR (O),1,B,,,"$0,00",21/05/2026,
303-0261,ONAN,POTENCIOMETRO,1,B,,"$634,90","$634,90",21/05/2026,
307-1058,ONAN,RELE,1,B,,"$76,90","$76,90",21/05/2026,
154-0712,ONAN,HEATER INTAKE (O),1,B,,,"$0,00",21/05/2026,
226-4530,ONAN,-,1,B,,,"$0,00",21/05/2026,
300-5151,ONAN,-,2,B,,,"$0,00",21/05/2026,
302-1859-01,ONAN,HOROMETRO (O),1,B,,,"$0,00",21/05/2026,
302-0807,ONAN,METER AMP (O),1,B,,"$255,80","$255,80",21/05/2026,
309-0438,ONAN,SWITCH (O),1,B,,,"$0,00",21/05/2026,
300-4099,ONAN,EMERG STOP KIT,1,B,,,"$0,00",21/05/2026,
300-3160,ONAN,PCB ASSY-BAT(O),1,B,,,"$0,00",21/05/2026,
0309-0649,ONAN,TERM DE PRECA. P/VTA-KTA-DQKB,1,B,,"$376,00","$376,00",21/05/2026,
307-2577,ONAN,RELOJ DE EJECICIO P/OT600,1,B,,"$1.550,40","$1.550,40",21/05/2026,
191-1953,ONAN,BENDIX DE ARRANQUE,1,B,,"$440,10","$440,10",21/05/2026,
0320-0876,ONAN,BRACKER CIRCUIT(O),2,B,,"$172,90","$345,80",21/05/2026,
320-0505,ONAN,CIRCUIT BREAKER(O),3,B,,"$61,30","$183,90",21/05/2026,
193-0375,ONAN,SENSOR DE TEMPERATURA,1,B,,"$68,40","$68,40",21/05/2026,
110-1221,ONAN,SPRING VALVE,1,B,,"$10,60","$10,60",21/05/2026,
191-1951,ONAN,CARBONES DE ARRANQUE,2,B,,"$90,90","$181,80",21/05/2026,
309-0439,ONAN,-,1,B,,,"$0,00",21/05/2026,
154-0712,ONAN,HEATER INTAKE (O),1,B,,,"$0,00",21/05/2026,
110-1278,ONAN,VALVE EXHAUST,1,B,,,"$0,00",21/05/2026,
112-0093,ONAN,PIN PISTON,2,B,,,"$0,00",21/05/2026,
0353-0094-01,ONAN,RESISTOR (O),1,B,,"$47,90","$47,90",21/05/2026,
307-2591,ONAN,RELAY PROGRAMED (O),1,B,,"$104,40","$104,40",21/05/2026,
191-1953,ONAN,BENDIX DE ARRANQUE,1,B,,"$440,10","$440,10",21/05/2026,
270011-274,SULLAIR,MANGUERA FILTRO DE ACEITE - UC,1,B,,"$299,00","$299,00",21/05/2026,
LC1D09,SCHNEIDER,CONTACTOR,1,B,,,"$0,00",11/08/2026,
LC1D12F7,SCHNEIDER,CONTACTOR,1,B,,,,11/08/2026,
LC1D09F7,SCHNEIDER,CONTACTOR,1,B,,,,11/08/2026,
LC1D8,SCHNEIDER,CONTACTOR,0,B,,,"$0,00",06/07/2026,
LRD33,SCHNEIDER,RELE TERMICO D 55 a 70AMP,2,B,,"$257,30","$514,60",,
LC1D80F7,SCHNEIDER,CONTACTOR 80A 3P 1NA+1NC 50HZ,2,B,,,"$0,00",,
LC1R2501,SCHNEIDER,AC CONTACTOR,3,B,,,,12/08/2026,
02250215-660,SULLAIR,ELEMENTO DE ACOPLE NEGRO,1,B,,"$1.085,80","$1.085,80",31/07/2026,
1001178139-JLG,SULLAIR,CONTROLP/E45A (EX 1001118419),0,B,,"$494,00","$0,00",31/07/2026,
042034RA,DRECAFF,PURGA DRENA OSMI 1/2 (30-200PS,2,B,,"$408,40","$816,80",11/08/2026,
AF25555,FLEETGUARD,,2,C,,,"$0,00",21/05/2026,
88292046-727,IMPORTADO,KIT CONTROLADOR SCN2,1,C,,,"$0,00",16/06/2026,
CC2825,FLEETGUARD,COMPLEAT EG PREMIX 50/50 x1Gal,2,C,,"$36,30","$72,60",21/05/2026,
02250127-684,NACIONALES,ELEMENT AIR FILTER,2,C,,,"$0,00",21/05/2026,
MR447,MARENO M.BENZ,FILTRO DE AIRE,2,C,,"$59,86","$119,72",21/05/2026,
200F*200H*132,IMPORTADO,,1,C,,,"$0,00",21/05/2026,
HD9839,VOX,FILTRO DE AIRE,2,C,LX1056 LX1716,"$31,94","$63,88",21/05/2026,
HD9841,VOX,FILTRO DE AIRE,2,C,LX2621,"$42,59","$85,18",21/05/2026,
HD7998,VOX,FILTRO DE AIRE,2,C,LX910,"$23,64","$47,28",21/05/2026,
P150135,DONALDSON,FILTRO DE AIRE,1,C,,,"$0,00",21/05/2026,
MLX2533,MAHLE,FILTRO DE AIRE,1,C,,"$54,01","$54,01",21/05/2026,
MR390,MARENO,FILTRO DE AIRE,1,C,HD78,"$55,37","$55,37",21/05/2026,
HD3003,VOX,FILTRO DE AIRE,1,C,,"$19,15","$19,15",21/05/2026,
HD8234,VOX,FILTRO DE AIRE,1,C,,"$23,15","$23,15",21/05/2026,
HD9838,VOX,FILTRO DE AIRE,1,C,,"$26,21","$26,21",21/05/2026,
HD9837,VOX,FILTRO DE AIRE,3,C,LX1070,"$36,11","$108,33",21/05/2026,
KX77,MAHLE,FILTRO DE COMBUSTIBLE,0,C,,"$33,16","$0,00",21/05/2026,
P610696,DONALDSON,FILTRO DE AIRE,1,C,,,"$0,00",21/05/2026,
MR447,M.BENZ,FILTRO DE AIRE,1,C,,"$76,05","$76,05",21/05/2026,
LXS312,MAHLE,FILTRO DE AIRE SECUNDARIO,1,C,,"$61,07","$61,07",21/05/2026,
HD5673,MAHLE,FILTRO DE AIRE,1,C,,"$33,51","$33,51",21/05/2026,
LX1313,MAHLE,FILTRO DE AIRE,1,C,,"$130,24","$130,24",21/05/2026,
AF26044-FLE,FLEETGUARD,FILTRO AIRE P/C3 (140-4157)x12,1,C,,,"$0,00",06/07/2026,
AF25278,FLEETGUARD,FILTRO DE AIRE P/1340DFLF,0,C,,,"$0,00",,
HF35018,FLEETGUARD,FILTRO FRENO P/WA500-6,1,C,,,"$0,00",21/05/2026,
HF6057,FLEETGUARD,F.HIDRAULICO P/JLG(EX 2120072),1,C,,"$19,10","$19,10",21/05/2026,
HF6553,FLEETGUARD,FILTRO ACEITE TRANS P/40E,1,C,,"$65,60","$65,60",21/05/2026,
HF6588,FLEETGUARD,FILTRO HIDRAULICO,1,C,,,"$0,00",21/05/2026,
HF6424,FLEETGUARD,FILTRO HIDRAULICO,1,C,,"$55,10","$55,10",21/05/2026,
HF7535,FLEETGUARD,FILTROTRANSMISION P/440XT,0,C,,,"$0,00",21/05/2026,
FF5021,FLEETGUARD,F.COMB. (= 25010959 GM),7,C,,"$17,00","$119,00",21/05/2026,
FF5052,FLEETGUARD,FILTRO COMB ,2,C,P550440,"$17,10","$34,20",21/05/2026,
FF5031,FLEETGUARD,FILTRO COMBUSTIBLE,1,C,,"$62,80","$62,80",21/05/2026,
FF5032,FLEETGUARD,F. COMB.(ONAN 1220325) P/JLG,1,C,,"$60,90","$60,90",21/05/2026,
FF5405,FLEETGUARD,FILTRO DE GASOIL,2,C,,"$79,40","$158,80",21/05/2026,
FF5079,FLEETGUARD,FILTRO COMBUSTIBLE ,2,C,P550974,"$11,00","$22,00",21/05/2026,
HF6141,FLEETGUARD,FILTRO HIDRAULICO,1,C,,,,06/08/2026,
FF5624,FLEETGUARD,FILTRO COMBUSTIBLE,1,C,,,"$0,00",21/05/2026,
FF202,FLEETGUARD,FILTRO DE GASOIL(600-311-7111),4,C,,"$35,50","$142,00",21/05/2026,
FF5421,FLEETGUARD,FILTRO COMBUS P/SKY *ADJ*,0,C,,"$26,20","$0,00",21/05/2026,
FS19805,FLEETGUARD,FILTRO SEPAR COMB ,1,C,P502566,"$91,40","$91,40",21/05/2026,
FS1015,FLEETGUARD,FILTRO COMBUSTIBLE,1,C,,,"$0,00",21/05/2026,
FS1000,FLEETGUARD,FILTRO COMBUSTIBLE ,1,C,P551000,"$27,60","$27,60",21/05/2026,
FS1275,SULLAIR,FILTRO COMBUSTIBLE,0,C,,"$33,60","$0,00",21/05/2026,
FS19734,REPCENTER,FILTRO DE COMBUSTIBLE,1,C,,,"$0,00",21/05/2026,
FS1242,FLEETGUARD,ELEMTO.F. COMBU. P/CASE 921B**,2,C,,"$24,10","$48,20",21/05/2026,
FS20009,FLEETGUARD,FILTRO COMBUSTIBLE P/X1440,1,C,,"$71,70","$71,70",21/05/2026,
FS19727-FLE,FLEETGUARD,FIL.COMB PRIM,3,C,P551052,"$41,50","$124,50",21/05/2026,
FS19972-FLE,FLEETGUARD,FILTRO COMB 580N**84559022-CAS,1,C,,"$63,20","$63,20",21/05/2026,
FF203,FLEETGUARD,FILTRO COMB P/JD (= AR50041),5,C,,"$34,40","$172,00",21/05/2026,
FF105,REPCENTER,FILTRO DE COMBUSTIBLE,2,C,,"$16,80","$33,60",06/07/2026,
FF146,FLEETGUARD,FILTRO COMBUSTIBLE,4,C,,,"$0,00",21/05/2026,
FF5580,FLEETGUARD,FILT COMB P/C275D5 4,0,C,,"$31,30","$0,00",21/05/2026,
LF3970,FLEETGUARD,FILTRO ACEITE P/10042,0,C,P550428,"$20,30","$0,00",21/05/2026,
LF700,FLEETGUARD,FILTRO DE ACEITE P/C20,1,C,,"$21,50","$21,50",21/05/2026,
LF3345,FLEETGUARD,FILTRO AC p/QSV4.5 ,0,C,P558616,"$17,30","$0,00",21/05/2026,
LF699,FLEETGUARD,FILTRO DE ACEITE,1,C,,"$17,20","$17,20",21/05/2026,
LF3349,FLEETGUARD,FILTRO ACEITE *ADJ*,2,C,P558615,"$11,60","$23,20",21/05/2026,
LF3373,FLEETGUARD,P550315/OX137D      FILTRO DE ACEITE,2,C,,"$11,60","$23,20",21/05/2026,
LF3325,FLEETGUARD,FILTRO,0,C,,"$40,80","$0,00",09/06/2026,
LF3605,FLEETGUARD,FILTRO DE ACEITE,2,C,,,"$0,00",21/05/2026,
LF4045,FLEETGUARD,FILTRO DE ACEITE,0,C,,,"$0,00",21/05/2026,
LF4054-FLE,FLEETGUARD,F.ACEITE P/214/L90,2,C,,"$21,60","$43,20",21/05/2026,
LF670,FLEETGUARD,FILTRO DE ACEITE,1,C,,"$22,80","$22,80",21/05/2026,
LF3000,FLEETGUARD,FIL.AC. P/PC300-7(6742-01-4540,2,C,,"$49,10","$98,20",21/05/2026,
LF667,FLEETGUARD,F.ACEITE P/750H CAT,3,C,,"$19,20","$57,60",21/05/2026,
LF777,FLEETGUARD,F.ACEITE (= 122-0526 3313283),1,C,,"$29,50","$29,50",21/05/2026,
LF701,FLEETGUARD,FILTRO DE ACEITE,1,C,,"$18,70","$18,70",21/05/2026,
LF3573,FLEETGUARD,FILTRO DE ACEITE,2,C,,,"$0,00",21/05/2026,
LF3883,FLEETGUARD,F ACEITE P/CAMION INTERNACIONA,1,C,,"$42,60","$42,60",21/05/2026,
LF14000NN,FLEETGUARD,F. ACEITE,1,C,LF9080,"$92,00","$92,00",21/05/2026,
LF9000,FLEETGUARD,FILTRO DE ACEITE P/QSX5,4,C,,"$108,50","$434,00",21/05/2026,
LF9009,FLEETGUARD,FILTROS DE ACEITE,0,C,,"$49,10","$0,00",21/05/2026,
LF691A,FLEETGUARD,FILTRO DE ACEITE P/ 1150XH,2,C,,"$37,90","$75,80",21/05/2026,
FS1006,FLEETGUARD,FILTRO DE COMBUSTIBLE,0,C,,"$76,80","$0,00",09/06/2026,
FS19732,FLEETGUARD,FILTRO COMBUSTIBLE,2,C,,"$57,60","$115,20",21/05/2026,
FS19732,P/SERVICIO,FILTRO COMBUSTIBLE,5,C,,"$57,60","$288,00",,
FS19730,FLEETGUARD,ELEMENTO FILTRANTE NORMAL,4,C,,"$32,20","$128,80",21/05/2026,
FS1003,FLEETGUARD,FILTRO SEPARADOR COMB,1,C,,"$50,30","$50,30",21/05/2026,
FS1280,FLEETGUARD,FILTRO COMBUSTIBLE,3,C,,"$15,90","$47,70",21/05/2026,
WF2070,FLEETGUARD,F.AG =130-3536 3318157,0,C,P551329 WF2170,"$26,60","$0,00",21/05/2026,
