codigo,descripcion,proveedor,equivalencias,precio,uso_destino
250028-032,FILTRO ACEITE P/6E ELEMTO.,SULLAIR,,107.1,
02250175-063,FILTRO 2º AIRE P/LS20S-220LF,SULLAIR | P/SERVICIO,,238.6,Servicio Técnico
02250175-062,FILTRO 1º AIRE P/LS20S-220LF,SULLAIR | P/SERVICIO,,614.4,Servicio Técnico
250015-586,FILTRO DE ACEITE S.12 (old),SULLAIR,,189,
LXS296,FILTRO DE AIRE ll,MAHLE,,,
HDS838,FILTRO DE AIRE ll,VOX,LXS263,,
HDS837,FILTRO DE AIRE ll | LXS261,VOX | REPCENTER,LXS261,,
HDS839,FILTRO DE AIRE ll,VOX,LXS260,,
HDS203,FILTRO DE AIRE ll,VOX,LXS251,,
6.3672.2,FILTRO SEPARADOR,KAESER,,246,
6.3792.2,FILTRO SEPARADOR,KAESER,,,
6.3462.0,FILTRO DE ACEITE,KAESER,,,
6.4432.0,FILTRO DE AIRE,KAESER,,60,
6.4434.0,FILTRO DE AIRE,KAESER | JBB,,,
6.4139.0,FILTRO DE AIRE,KAESER,,88,
6.3568.0,FILTRO SEPARADOR,KAESER,,530,
6.3464.1,FILTRO DE ACEITE,KAESER,,85,
6.4149.2,FILTRO DE AIRE,KAESER,,95,
6.3567.0,FILTRO SEPARADOR,KAESER,,584,
6.4148.0,FILTRO DE AIRE,KAESER,,220,
6.3760.0,FILTRO SEPARADOR,KAESER,,612,
6.3465.0,FILTRO DE ACEITE,KAESER,,190,
901524.0,FILTRO,KAESER,,198,
901504.0,FILTRO,KAESER,,190,
6.3623.0,FILTRO SEPARADOR,KAESER,,,
1613872000,,ATLAS COPCO,,30,
1625480050,,ATLAS COPCO,,30,
2903775300,,ATLAS COPCO,,220,
1202804003,,ATLAS COPCO,,30,
02250135-155,ELMNTO FIL AIRE SERV PESAD S20,SULLAIR | P/SERVICIO,,684.4,Servicio Técnico
02250155-709,ELEM FILTRO ACEITE p/S-ENERGY | FILTRO ACEITE,SULLAIR | P/SERVICIO,,222.3,Servicio Técnico
CF600/1,LXS219,MANN,,,
HS801 / LXS401,FILTRO DE AIRE,VOX,,,
408107,FILTRO ACEITE (S.12/16 viejos),SULLAIR,,112.2,
AT14879,FILTRO DE ACEITE,JOHN DEERE,,,
02250229-242,KIT ELEMENTO SEPARADOR LS110,SULLAIR,,1960.1,
250034-087,ELEMENTO SEPARADOR 375Q,SULLAIR,,999.5,
250034-086,ELEMTO.SEPARADOR 750Q,SULLAIR,,1398.1,
02250145-897,ELEMENTO SEPARADOR SECUNDARIO,SULLAIR,,697.3,
250034-120,ELEMTO.SEP. I°S.20,SULLAIR | P/SERVICIO,408167-001,1288.5,Servicio Técnico
MZ3,FILTRO HIDRAULICO,SCHROEDER,,,
FF-560 R/S,FILTRO DE COMBUSTIBLE,PRO FILTER,,,
R28-30M,FILTRO DE COMBUSTIBLE,PARKER,,,
R90HDP-VOL,FILTRO SEPARADOR,PARKER,,,
R90-30M,FILTRO DE COMBUSTIBLE,PARKER,FBS490/1,,
FBS490/1,FILTRO SEPARADOR | R90-30M,VOX | REPCENTER,R9030M,,
BC-C2019,FILTRO DE COMBUSTIBLE,BAOCH,,,
BC-C2008,FILTRO DE COMBUSTIBLE,BAOCH,,,
500-0480,FILTRO DE COMBUSTIBLE,BLUMAQ,,,
436-7077,FILTRO SEPARADOR,BLUMAQ,,,
1G-8878,F.HIDRAULICO,CAT,,,
1R-0751,F.COMBUSTIBLE,CAT,,,
7W-2326,F.ACEITE,HDQP,,,
G149,FILTRO DE ACEITE,GOLD FILTER,,,
GF704,FILTRO DE COMBUSTIBLE,GOLD FILTER,,,
DZ118286,FILTRO DE ACEITE,JOHN DEERE,,,
RE62418,FILTRO DE COMBUSTIBLE,JOHN DEERE,,,
RE62419,FILTRO DE COMBUSTIBLE,JOHN DEERE,,,
RE504836,FILTRO DE ACEITE,JOHN DEERE,,,
H601/4,FILTRO DE ACEITE HIDRAULICO,MANN,,,
HU721,FILTRO DE ACEITE HIDRAULICO  x kit,MANN,,,
HX15,FILTRO DE ACEITE HIDRAULICO,MAHLE | PRIX | VOX,,,
67502-26600-71,FILTRO DE ACEITE HIDRAULICO,TOYOTA,,,
247050,FILTRO DE ACEITE HIDRAULICO,SPICER OFF,,,
84403847,FILTRO DE COMBUSTIBLE,CNH,,,
2120158,,JLG,,,
V-612,F.ACEITE,DARMET,,,
G-315,F.ACEITE,DARMET,,,
G-306,FILTRO DE COMBUSTIBLE,DARMET,,,
FCS-15119,FILTRO DE COMBUSTIBLE,FAMEL,,,
BR-1077,FILTRO DE COMBUSTIBLE,LANSS,,,
BR-1196,FILTRO DE COMBUSTIBLE,LANSS,,,
LFF3536,F.ACEITE,LUBE FILTER,,,
HF-3045,FILTRO HIDRAULICO,LANSS,,,
FCS-54,FILTRO DE COMBUSTIBLE,FAMEL,,,
AC-720,FILTRO DE AIRE,MONZA,,,
FCS-31,FILTRO DE COMBUSTIBLE,FAMEL,,,
FCS-181,FILTRO DE COMBUSTIBLE,FAMEL,,,
`0750 131 056,FILTRO DE ACEITE H.,ZF,,,
02250153-323,ELEM. FILTR. P/ SCR 65,SULLAIR,,333.9,
250024-424,ELEMENT MPF2.7,SULLAIR,,212.1,
250024-432,ELEMTO. MPH 35,SULLAIR,,188.1,
9003941M1,F.ACEITE,AGCO PARTS,,188.1,
P555680,,DONALDSON,LF654 - LF3788,,
P554004,,DONALDSON,LF667 - LF3379,,
P551315,,DONALDSON,FF5324 - FF5815,,
BL-2091,FILTRO DE ACEITE,LANSS,,,
P550575,,DONALDSON,HF6202,,
P551435,,DONALDSON,FS19906,,
P551425,,DONALDSON,FS19827,,
P550467,FILTRO DE COMBUSTIBLE,DONALDSON,,,
J3543R,FILTRO DE AIRE,HASTING,,,
H2225,FILTRO DE ACEITE,HASTING,,,
1763776,,MANN,KC441 - FF5626,,
VX400,FILTRO DE ACEITE,FARO,,,
Z5158,FILTRO DE COMBUSTIBLE,HASTING,,,
AC166,,PRIX,KL788,,
´004125,FILTRO DE ACEITE,PERTRAK | REPCENTER,,,
`004060,FILTRO DE COMBUSTIBLE,PERTRAK | PETRAK,,,
`004115,FILTRO DE ACEITE,PERTRAK | PETRAK,,,
OC35,FILTRO DE ACEITE,VOX,LB339,,
KX368D,FILTRO DE COMBUSTIBLE,MAHLE,,,
250042-862,ELEMTO.SEPARADOR II° S.12,SULLAIR | P/SERVICIO,,466.1,Servicio Técnico
250034-116,ELEMENTO SEP I° S.12/16/10-50,SULLAIR | P/SERVICIO,,705.8,Servicio Técnico
02250135-150,FILTRO AIRE I° p/32-350,SULLAIR,,692.4,
AL458,FILTRO DE ACEITE,VOX | ECHANIZ,OX174,,
FN951,FILTRO DE COMBUSTIBLE,VOX,KX437/D,,
P551856,,DONALDSON,FS19532 - KC121,,
P550490,,DONALDSON,LF17S13 - LF3730,,
P550220,,DONALDSON,HF28917 - HX80,,
P550653,,DONALDSON,KX182 - FF5684,,
P550120,,DONALDSON,FF5053 - KX35D,,
P550766,,DONALDSON,LF3605 - OX150D,,
WFC3,FILTRO DE AGUA,MALHE,,,
AC744,,PRIX/VOX | ECHANIZ,KX67/2D,,
HC99,FILTRO HIDRAULICO,MALHE,,,
P761108,FILTRO HIDRAULICO,DONALDSON,HC96,,
P550309,HF6162 - HX15,DONALDSON,HF6162 - HX15,,
P551102,OC40 - LF4112,DONALDSON,OC40 - LF4112,,
P550639,FILTRO HIDRAULICO,DONALDSON,LF3977 - OC474,,
ML1000G,FILTRO DE COMBUSTIBLE,MOTORLINE | ECHANIZ,,,
ML1212G,FILTRO DE COMBUSTIBLE,MOTORLINE | ECHANIZ,,,
ML1280G,FILTRO DE COMBUSTIBLE,MOTORLINE | ECHANIZ,,,
ML5052G,FILTRO DE COMBUSTIBLE,MOTORLINE | ECHANIZ,,,
ML5457G,FILTRO DE COMBUSTIBLE,MOTORLINE,,,
ML5421G,FILTRO DE COMBUSTIBLE,MOTORLINE | ECHANIZ,,,
ML3349,FILTRO DE ACEITE,MOTORLINE,,,
ML30000,FILTRO DE ACEITE,MOTORLINE,,,
ML3345O,FILTRO DE ACEITE,MOTORLINE | ECHANIZ,,,
ML2073W,FILTRO DE AGUA,MOTORLINE,,,
FBD75,FILTRO DE COMBUSTIBLE,VOX | REPCENTER,KC188/KC440,,
KL583,FILTRO DE COMBUSTIBLE,PRIX,AC341,,
KL596,,MAHLE | REPCENTER,,,
KL239,FILTRO DE COMBUSTIBLE,VOX,FS40/7,,
KL582,FILTRO DE COMBUSTIBLE | AC333,MAHLE,,,
KL63,FILTRO DE COMBUSTIBLE,PRIX,AC314,,
FS41,FILTRO DE COMBUSTIBLE,VOX | REPCENTER,KL238/D,,
KL100/2,FILTRO DE COMBUSTIBLE,MAHLE,,,
OX171/2D,FILTRO DE ACEITE,VOX | VOX/PRIX,AL473,,
KX182/1D,SCANIA,MAHLE | REPCENTER,,,
KX79D,FILTRO DE COMBUSTIBLE,MAHLE,,,
AC763,FILTRO DE COMBUSTIBLE,PRIX | ECHANIZ,KX268/D,,
AC763/4,FILTRO DE COMBUSTIBLE,PRIX | ECHANIZ,FN953,,
FDB75,,VOX | REPCENTER,,,
FN953,FILTRO DE COMBUSTIBLE,VOX,,,
KX80/1D,FILTRO DE COMBUSTIBLE,MAHLE,,,
KX710D,FILTRO DE COMBUSTIBLE,MAHLE | ECHANIZ,,,
KX24,FILTRO DE COMBUSTIBLE,MAHLE | REPCENTER,,,
OX161D,FILTRO DE ACEITE,MAHLE,,,
HD 932-2 X,FILTRO HIDRAULICO,MAHLE,,,
RE62419-JDC,FILT. COMBUSTIBLE,JONH DEREE,,,
LX2046,,MAHLE | REPCENTER,,,
BL-2156,FILTRO DE ACEITE,LANSS,OC613,,
AA1395E,F.AIRE,PRIX | ECHANIZ,,,
LA230,F.HABITACULO,MAHLE,,,
AL19,FILTRO DE ACEITE,PRIX | ECHANIZ,OC60,,
250034-122,ELEMENTO SEPARADOR I° S.20/16,SULLAIR,,1354,
250034-134,ELEMENTO SEPARADOR II° S.20/16,SULLAIR,,1033.3,
CE3022,KX67/2D,VOX | REPCENTER,,,
FBS480/1,FILTRO DE COMBUSTIBLE | KC647/1,VOX | REPCENTER,,,
FBD998/KC46,FILT. COMBUSTIBLE,VOX,,,
250034-085,ELEMTO. SEP-1º DEL 20 NEW,SULLAIR | P/SERVICIO,,1597.5,Servicio Técnico
02250048-734,ELEMENTO SEPARADOR Il S.20 New,SULLAIR | P/SERVICIO,,1029.8,Servicio Técnico
C-2505,F.ACEITE,SAKURA,,,
LE309,FILTRO DE ACEITE,VOX,,,
OC175,FILTRO DE ACEITE,MAHLE / TECFIL | ECHANIZ,,,
KC83,F.COMBUSTIBLE | FILT. COMBUSTIBLE,MAHLE | PRIX/VOX,FF5159 - P550385 | CFF003,,
OC988,FILTRO DE ACEITE,MAHLE VOX PRIX | REPCENTER | ECHANIZ,AL28/1  LB916,,
KC595,FILT. COMBUSTIBLE,MAHLE | REPCENTER,,,
KC454,FILT. COMBUSTIBLE,MAHLE | MANN,WK940/1,,
KC28,FILT. COMBUSTIBLE,MAHLE,,,
KC 381,FILT. COMBUSTIBLE,MAHLE,,,
KC51,FILT. COMBUSTIBLE,MAHLE,,,
KC182,FILT. COMBUSTIBLE,MAHLE | REPCENTER,,,
KC251,FILT. COMBUSTIBLE,MAHLE,,,
KC647D,FILT. COMBUSTIBLE,MAHLE | REPCENTER,,,
KC647/1,FILT. COMBUSTIBLE,MAHLE | VOX | REPCENTER,,,
KC648/1,FILT. COMBUSTIBLE,MAHLE,,,
KC637/1,FILT. COMBUSTIBLE,MAHLE,,,
KC637D,FILT. COMBUSTIBLE,MAHLE | ECHANIZ,,,
KC134,FILT. COMBUSTIBLE,MAHLE,,,
KC381,FILT. COMBUSTIBLE,MAHLE,,,
VP2780,FILTRO DE AIRE,DARMET,,,
KC18,FILT. COMBUSTIBLE,MAHLE,,,
KC118/1,FILT. COMBUSTIBLE | WK950/26X,MAHLE | MANN,,,
KC186,FILT. COMBUSTIBLE,MAHLE,,,
KC24,FILT. COMBUSTIBLE,MAHLE,,,
KC509,MAHLE FILT. COMBUSTIBLE,DONALDSON,FF5626,,
KC5,FILT. COMBUSTIBLE,DONALDSON,,,
KC440,FILT. COMBUSTIBLE,MAHLE | ECHANIZ | REPCENTER,KC188,,
KC636,,MAHLE | REPCENTER,,,
KC618,FILT. COMBUSTIBLE,MAHLE,,,
OX339/2D,FILTRO DE ACEITE,PRIX,AL477,,
OX834D,FILTRO DE ACEITE,VOX,LE108,,
OX169D,FILTRO DE ACEITE,MAHLE,,,
OX168D,FILTRO DE ACEITE,MAHLE,,,
OX169/1D,FILTRO DE ACEITE,MAHLE,,,
OX175D,FILTRO DE ACEITE,VOX,LE119,,
OX388D,FILTRO DE ACEITE,MAHLE,,,
OX188,FILTRO DE ACEITE,MAHLE,,,
OX153D3,FILTRO DE ACEITE,MAHLE,,,
OX562D,,MAHLE | REPCENTER,,,
OX16/1D,FILTRO DE ACEITE,MAHLE,,,
OX174D,FILTRO DE ACEITE,VOX,LE2002,,
OX1052D,FILTRO DE ACEITE,MAHLE | REPCENTER,,,
OC1063,FILTRO DE ACEITE,MAHLE,,,
OC324,FILTRO DE ACEITE,MAHLE,,,
OC370,FILTRO DE ACEITE,MAHLE | REPCENTER,,,
OC282,FILTRO DE ACEITE,MAHLE,,,
OC18,FILTRO DE ACEITE,MAHLE,,,
OC1738,FILTRO DE ACEITE,MAHLE,,,
OC502,FILTRO DE ACEITE,MAHLE | ECHANIZ,VOX LB283 - PRIX AL102 - TECFIL PSL283,,
OC60,FILTRO DE ACEITE,VOX,LB962,,
OC522,FILTRO DE ACEITE,MAHLE,,,
OC501,FILTRO DE ACEITE,MAHLE | REPCENTER,,,
OC235,FILTRO DE ACEITE,MAHLE | REPCENTER,,,
OC1009,FILTRO DE ACEITE,MAHLE | REPCENTER,,,
OC26,FILTRO DE ACEITE,MAHLE | ECHANIZ,,,
OC42,FILTRO DE ACEITE,MAHLE,,,
OC41,FILTRO DE ACEITE,MAHLE,WD962,,
OC67,FILTRO DE ACEITE,MAHLE,,,
OC1253,FILTRO DE ACEITE,MAHLE,,,
HLP5053,FILTRO DE AIRE,VOX,,,
LB55,,VOX,LB55 - AL97 -  OC194 - OC195 - OC196,,
LB300,FILTRO DE ACEITE,VOX,LF3000,,
AL470/4,FILTRO DE ACEITE,PRIX,OX389/1D,,
AL12,,MAHLE | REPCENTER | ECHANIZ,PRIX-1374,,
AL26,FILTRO DE AIRE,MAHLE,,,
OC534,FILTRO DE ACEITE,VOX,LB134,,
OC47,FILTRO DE ACEITE,VOX | REPCENTER,LB562,,
OC90,FILTRO DE ACEITE,VOX,LB619,,
AL97,FILTRO DE ACEITE,ECHANIZ,,,
LE677,,VOX | REPCENTER,OX388D,,
1002-4663,ELEM.SEPARADOR | ELEMENTO SEPARADOR,SULLAIR,,2209.2,
932000 10B NE,,,,,
241772,FILTRO CEDAZO DE RETORNO,SULLAIR,,143.8,
´046701,ELEMENTO FILTRO DE ACEITE,SULLAIR,,161.8,
4460465-JLG,CONECTOR HEMBRA,SULLAIR,,,
AF25484,FILTRO DE AIRE SECUNDARIO,FLEETGUARD,,,
AC-19080,FILTRO DE COMBUSTIBLE,ECHANIZ,,,
1001129845-JLG,CONTROL MODULE SYSTEM 324RS,SULLAIR,,2258.3,
02250106-789,OIL SEPARADOR,IMP,,792.9,
250030-758,ACEITE AWF,SULLAIR,,2851.3,
34-08324,ACTUADOR,PELLACANI,,,
1006-3296,KIT ELEMENTO SEPARADOR LS110,SULLAIR,,1960.1,
45673,CUBO DE ACOPLE L.UNIDAD S.10,SULLAIR,,619.2,
S00301-238,CAPACITOR CORILUX 83MF 450V,SULLAIR,,45,
02250224-269,ENFRIADOR AIR/ACEITE 7500,SULLAIR,,4100.9,
0400055-JLG,BATERIA 6V 375A**7016177/N,SULLAIR,,564,
02250242-636,ELEM SEPAR p/LS160,SULLAIR,227-748,2131.2,
250027-201,BULBO DE TEMP.AGUA | BULBO DE TEMP.AGUA (EX 040653),SULLAIR,40653,441.2,
`001104,BULBO TEMPERATURA ACEITEP/185,SULLAIR,,582.8,
1001092456-JLG,MODULO CONTROL P/2030 ES,JLG | SULLAIR,,3408.6,
HP9834,FILTRO DE AIRE,,,,
HK301,FILTRO HAB,,,,
250006-938,VALVULA DE SEGURIDAD,SULLAIR,,165.2,
70031074-TRA,DISCO P/10042,SULLAIR,,130,
70030307-TRA,SEPARADOR,SULLAIR,,58.5,
1319612-TRA,ARO DE PISTON 30X2,SULLAIR,,418,
1319593-TRA,ORING 52X3,SULLAIR,,42.6,
1319594-TRA,ORING 115X3,SULLAIR,,62.9,
8036190-TRA,RODAMIENTO,SULLAIR,,100.5,
02250235-913,CUERPO DE VLV. TERMOSTATICA P1,SULLAIR,,485.6,
02250087-070,CODO 90ª SAE 1,SULLAIR,,103,
02250093-806,CONECTOR SAE 1 x 1 1/4,SULLAIR,,108.6,
02250098-622,MANGUERA HID. 1 X 35,SULLAIR,,559.8,
826502-215,O-RING VITON 1/8 X 1 1/16,SULLAIR,,5.2,
AC7983,FILTRO DE COMBUSTIBLE,PRIX,,,
241581,VALVULA PRESION MINIMA,SULLAIR,,1223.1,
`042582,INDICADOR DE TEMPERATURA 2,SULLAIR,,672.8,
02250166-230,KIT SEAL 5 INLET VALVE REPAI,SULLAIR,,1719.2,
LX261,FILTRO DE ACEITE,VOX,,,
EF938,FILTRO DE AIRE,LANS,,,
EF939,FILTRO DE AIRE,LANS,,,
02250221-211,VLV MEMBRANE,SULLAIR,,774.9,
8320265-TRA,ELEMTO.FILTRO HIDRAULICO,Manip. SKY TRAK,,64.1,
02250145-625,FLEXIBLE DESCARGA LS20,SULLAIR NACIONAL,,881.1,
248755,SILENCIADOR,SULLAIR IMPORTADOS,,135.1,
7013301-JLG,CONTACTOR CHANGE. P/30-40-45E,SULLAIR,,513.4,
P5113,FILTRO DE COMBUSTIBLE,ECHANIZ,,,
VP-1748,FILTRO DE AIRE,REPCENTER,,,
VP-1748/S,FILTRO DE AIRE SECUNDARIO,REPCENTER,,,
G-1316,FILTRO DE COMBUSTIBLE,REPCENTER,,,
FF5272,FILTRO DE COMBUSTIBLE,REPCENTER,,,
HF35305,FILTRO HIDRAULICO,REPCENTER,,,
HF9500,FILTRO HIDRAULICO,REPCENTER,,,
FS19914,FILTRO DE COMBUSTIBLE,REPCENTER,,,
LF3400,FILTRO DE ACEITE,REPCENTER,,,
LF16011,FILTRO DE ACEITE,REPCENTER,,,
FF149,FILTRO DE COMBUSTIBLE,REPCENTER,,,
VP-2709/S,FILTRO DE AIRE SECUNDARIO,REPCENTER,,,
250018-427,CONECTOR 1/4 T x 1/8 NPT,SULLAIR,,12.2,
88290015-890,FLTR V-TYPE P/SHOPTEK,SULLAIR,,42.9,
88290015-891,TUBO 1/4 TRANSPARENTE P/ST,SULLAIR,,69.8,
68MR1600,RESORTE THROTTLE VALVE,SULLAIR,,7.7,
68CJ0825,O RING,SULLAIR,,5.3,
68723227,ESLABON GIRATORIO,SULLAIR,,171.7,
68CJ0026,O RING P/MPB-90A/60A,SULLAIR,,29.9,
68722579,BUJE 1/14 HEX.,SULLAIR,,906.1,
68723244,LEVA P/MART.,SULLAIR,,219.3,
68MR1301,SPRING PLUNG,SULLAIR,250032-493,34.1,
68780320,KIT ROLL PIN (2 PCS),SULLAIR,,60.9,
02250222-783,ELECTROVALVULA RN250,SULLAIR,,587.7,
0140-4317,ELEMENTO AIRE 1°,ONAN | SULLAIR,AF25910-FLE,,
0140-4318,ELEMENTO AIRE 2°,ONAN | SULLAIR,AF25911-FLE,,
1001186466,SENSOR TILT 1932R | SENSOR DUAL AXIS (OXC1),SULLAIR,,993.4,
4360371,SENSOR,SULLAIR,,743.5,
179-9806,CAT,STAL,,,
EF-8033R,FILTRO DE AIRE,LANS,,,
EF-8034R,FILTRO DE AIRE,LANS,,,
´0937521,no ingresan al pañol,TRACKMAR,,,
1001146963-JLG,SENSOR,SULLAIR,,545.7,
AF1638-FLE,FILTRO DE AIRE,FLEETGUARD | SULLAIR,,89.2,
122-0922-ONA,FILTR DE ACEITE CON CABEZAL,ONAN | SULLAIR,,18.1,
02250099-448,BULBO CORTE DE TEMP.,SULLAIR,,337.5,
250041-801,ACOPLE P/185Q JD U/C C/CHAVETA,SULLAIR,,2766.1,
LXS37/1,FILTRO DE AIRE SECUNDARIO,REPCENTER,,,
02250177-150,KIT VLV.CHECK P/S.20,SULLAIR,,890.6,
02250164-206,CUBO DE ACOPLE LADO UNIDAD,SULLAIR,,504,
02250152-635,CUBO DE ACOPLE LADO MOTOR,SULLAIR,,598.5,
7023543-JLG,VALVE PROPORTIONAL 2630ES,JLG | SULLAIR,,448.4,
02250097-349,"VLV. SEGURIDAD 3/4""200",SULLAIR,,846.8,
02250223-411,FLTR FUEL & H2O SEPARATOR,SULLAIR,,245.5,
02250220-866,PUMP ELEC FUEL SUPPLY 12V,SULLAIR,,52,
140-4088-ONA,ELEMENT FIL AIRE P/C22,ONAN | SULLAIR,AF25904,36.7,
270016-419,ELEM FILTRO COMB KUB 2403,SULLAIR,,92,
270016-627,ELEM FILTRO ACEITE KUB 2403,SULLAIR,,58,
250024-272,CILINDRO VELOCIDAD 3/4 X1,SULLAIR,,416.5,
7021581-JLG,CUBIERTA IN240/55-17.5 P/E450A,SULLAIR,,549.6,
AH1135,F.AIRE p/1000 kva,FLEETGUARD,EF-542,262.4,
4460467-JLG,EXTRACTOR,SULLAIR,,4.8,
0400215-JLG,BATERIA 6V 225 amp | BATERIA,SULLAIR,,264,
1318821,FILTRO DE AIRE SECUNDARIO CAT 320 | no ingresan al pañol,ITR - ITALIA | TRACKMAR,,,
1318822,FILTRO DE AIRE PRIMARIO CAT 320 | no ingresan al pañol,ITR - ITALIA | TRACKMAR,,,
1R1804,FILTRO ELEMENTO DE COMBUSTIBLE | no ingresan al pañol,ITR - ITALIA | TRACKMAR,,,
3223155,FILTRO ELEMENTO DE ACEITE MOTOR | no ingresan al pañol,ITR - ITALIA | TRACKMAR,,,
5I8670,FILTRO HIDRAULICO | no ingresan al pañol,ITR - ITALIA | TRACKMAR,,,
937521,FILTRO HIDRAULICO 320,ITR - ITALIA,,,
4385386,FILTRO DE COMBUSTIBLE | no ingresan al pañol,ITR - ITALIA | TRACKMAR,,,
B1806380-SAG,PUNTA LAPIZ,SULLAIR,,1038.6,
02250209-582,MANGUERA,SULLAIR,,93,
´042988,HOROMETRO,SULLAIR,,415.1,
191-2460-ONA,MOTOR DE ARRANQUE,SULLAIR,,989.9,
AF25570,FILTRO AIRE PRIMARIO,SULLAIR,,122.5,
AF25571,FILTRO AIRE II° P/C150 D5,SULLAIR,,68.1,
270002-709,VENTILADOR,SULLAIR,,256.9,
4954905-CMM,SENSOR DE TEMP. QSK60/HSK78 | SENSOR DE TEMP.,SULLAIR,,13.6,
`001692,TR.AGUA KIT (P/408389)S.20,SULLAIR,,154,
250018-008,"CUBO ACOPLE 1 3/4""",SULLAIR,,643.2,
´000751,CUBO ACOPLE SAGA 22 LM 60MM,SULLAIR,,820.8,
41992,"ABRAZADERA A CREMALLERA 7""",SULLAIR,,61.9,
4360328S-JLG,SWITCH TOGGLE,SULLAIR,,22.2,
02250183-035,KIT SUPERVISOR CONTROLLER,SULLAIR,,6422.6,
DZ120070,,JONH DEERE,,,
02250117-782,F.CEDAZO TIPO V 300PSI x 1/4,SULLAIR,,182.5,
AH8742,,SULLAIR,,,
02250139-296,,SULLAIR,,,
02250057-036,KIT RETEN P/S10-P10,SULLAIR | P/SERVICIO,,985.4,Servicio Técnico
02250183-425,SULLUBE 32 x 48u 5 Gal c/u,SULLAIR,,,
LE2002,OX174D,VOX | REPCENTER,,,
02250193-569,ELEM. FILTR. P/ FXF 240,SULLAIR | IMPORTADO,,651.2,Servicio Técnico
02250193-591,ELEM. FILTR. P/ FXH 240,SULLAIR | IMPORTADO,,651.2,Servicio Técnico
250019-453,KIT.REP.VALV.REG. P.AIRE,SULLAIR | P/SERVICIO,,257.4,Servicio Técnico
CC2848-FLE,Compleat EG Premix 50/50 5 gal | Compleat EG Premix 50/50 x1Gal,FLEETGUARD | SULLAIR,,,
02250196-470,ACE FoodG.PRISTINE 5GAL-NOTAS | PRISTINE,SULLAIR,,,
OC 47,,VOX,,,
LX1056,,VOX,,,
EF-440,,LANSS,,,
250041-638,SWITCH ENG OIL PRESS,SULLAIR,,225,
02250196-471,ACE FOOD GRADE PRISTINE 55 GAL,SULLAIR,,,
WF2073-FLE,FILTRO DE AGUA,FLEETGUARD,,,
FS40/7,,,,,
ML3000,,,,,
011579RA,KIT SULLICON(41269 + 41270),SULLAIR,,143.3,
250017-280,VALVULA | VALV. REG. DE PRESION P/LS10,SULLAIR,,308.3,
049905RA,VLV. RETENC.1/4 1 VIA,SULLAIR,,56.3,
LXS261,,,,,
LX1070,,,,,
LXS260,,,,,
OX399/2D,,,,,
02250193-574,ELEM. FILTR. P/ FXF 1350,SULLAIR,,1861.7,
02250193-597,ELEM. FILTR. P/ FXH 1350,SULLAIR,,1861.7,
02250193-567,ELEM. FILTR. P/ FXF 65,IMPORTADO | SULLAIR,,462.1,
02250193-589,ELEM. FILTR. P/ FXH 65,IMPORTADO | SULLAIR,,462.1,
FS19727,,FLEETGUARD,,,
FS04/7,,REPCENTER,,,
LB619,OC90,REPCENTER,,,
AC314,,ECHANIZ,,,
AC341,,ECHANIZ,,,
250019-451,KIT REP. VLV POPPET | KIT REPARACION VLV POPPET,SULLAIR | P/SERVICIO,,228.6,Servicio Técnico
02250193-572,ELEM. FILTR. P/ FXF 700,SULLAIR | IMPORTADO,,958.2,Servicio Técnico
250022-669,SULLUBE 32 ACEITE x 5GAL,SULLAIR,,,
02250194-958,ELEM. FILTR. P/ SCH 65,IMPORTADO | SULLAIR,,310.8,Servicio Técnico
02250194-957,ELEM. FILTR. P/ SCF 65,IMPORTADO | SULLAIR,,310.8,Servicio Técnico
FF5421-FLE,,,,,
7139077,,,,,
02250105-553,KIT VLV. TERMOSTATICA,SULLAIR | P/SERVICIO,,447.5,Servicio Técnico
250025-364,BULBO TEMPERATURA,SULLAIR,,140,
C635-0011-03,IND. NIVEL DE COMBUSTIBLE C300,CUMMINS,,,
´004060,,REPCENTER,,,
KC637,,REPCENTER,,,
HD9837/LX1070,,REPCENTER,,,
HDS837LXS261,,REPCENTER,,,
02250193-535,KIT DRAIN,SULLAIR,,241.5,
KX67/2D,,ECHANIZ,,,
OX161/D,,ECHANIZ,,,
HD932-2 X,,MANN,,,
02250193-571,ELEM. FILTR. P/ FXF 475,SULLAIR,,875.4,
02250193-593,ELEM. FILTR. P/ FXH 475,SULLAIR | IMPORTADO,,875.4,Servicio Técnico
HD9841/LS2621,,REPCENTER,,,
HDS837/LXS261,,REPCENTER,,,
882914-485,,SULLAIR,,,
LE119,,REPCENTER,,,
02250194-922,ELEMT.MPF 14y18 | ELEMT.MPF 14y18 (250024-427),SULLAIR | IMPORTADO,,837.9,Servicio Técnico
02250194-924,ELEMTO.MPH 14Y18,SULLAIR | IMPORTADO,,837.9,Servicio Técnico
88290014-567,,SULLAIR,,,
02250164-606,KIT DE REPARACION INLET VALVE,SULLAIR,,144,
6205-2Z/C3,,Aldo F Benito e Hijos | SKF,,,
6204-2C/C3,,Aldo F Benito e Hijos | SKF,,,
6311-2RS1/C3,,Aldo F Benito e Hijos | SKF,,,
6211-2RS1/C3,,Aldo F Benito e Hijos | SKF,,,
30204-NSK,,Aldo F Benito e Hijos | SKF,,,
32206/VA983,,Aldo F Benito e Hijos | SKF,,,
NU 2206 ECP/C3,,Aldo F Benito e Hijos | SKF,,,
