id_stock,codigo,cantidad,ubicacion,precio,precio_total,fecha_control
STK-00038,300-4308,1,A,,,2026-05-21
STK-00039,300-4296,1,A,5720.8,5720.8,2026-05-21
STK-00040,300-5148-04,1,A,602,602,2026-05-21
STK-00041,0327-1513,2,A,,,2026-05-21
STK-00042,300-3953-01,1,A,,,2026-05-21
STK-00043,4935095,0,A,1057,0,2026-05-21
STK-00044,0300-4819,1,A,4387.8,4387.8,2026-05-21
STK-00045,300-5179,1,A,3145.7,3145.7,2026-05-21
STK-00046,02250049-415,1,A,670.2,670.2,2026-05-21
STK-00047,300-6207-01,1,A,306,306,2026-05-21
STK-00048,250021-755,1,A,369.1,369.1,2026-05-21
STK-00049,02250152-678,1,A,186.1,186.1,2026-05-21
STK-00050,02250152-670,1,A,323.5,323.5,2026-05-21
STK-00051,02250152-679,1,A,228.2,228.2,2026-05-21
STK-00052,02250152-671,1,A,454.2,454.2,2026-05-21
STK-00053,1060300,1,A,9.9,9.9,2026-05-21
STK-00054,02250152-669,6,A,186.1,1116.6,2026-05-21
STK-00055,02250152-677,0,A,148.4,0.0,2026-05-21
STK-00056,249608-014,2,A,92.3,184.6,2026-05-21
STK-00057,`047398,1,A,,,2026-05-21
STK-00058,1801500,1,A,,,2026-05-21
STK-00059,357-0030,1,A,31,31,2026-05-21
STK-00060,02250049-020,1,A,1868.4,1868.4,2026-05-21
STK-00061,-,0,A,,,2026-05-21
STK-00062,02250155-714,1,A,735.8,735.8,2026-05-21
STK-00063,040528RA,1,A,584.3,584.3,2026-05-21
STK-00064,270001-030,1,A,398.7,398.7,2026-05-21
STK-00065,250025-621,1,A,766.6,766.6,2026-05-21
STK-00066,88290015-219,1,A,841.8,841.8,2026-05-21
STK-00067,02250053-273,2,A,1214.1,2428.2,2026-05-21
STK-00068,`040771,2,A,255.3,510.6,2026-05-21
STK-00069,250028-762,1,A,262.5,262.5,2026-05-21
STK-00070,02250182-546,0,A,215.7,0.0,2026-05-21
STK-00071,270008-586,4,A,386,1544,2026-05-21
STK-00072,02250047-679,1,A,949.3,949.3,2026-05-21
STK-00073,02250103-131,1,A,,,2026-05-21
STK-00074,´040307,2,A,,,2026-05-21
STK-00075,´011531,2,A,262.5,525.0,2026-05-21
STK-00076,405815-001,1,A,239.3,239.3,2026-05-21
STK-00077,02250155-536,1,A,2106,2106,2026-05-21
STK-00078,´042034,1,A,984,984,2026-05-21
STK-00079,250017-451,1,A,,,2026-05-21
STK-00080,02250129-683,1,A,1032.7,1032.7,2026-05-21
STK-00081,250005-185,3,A,,,2026-08-06
STK-00082,250004-641,1,A,1016.9,1016.9,2026-07-06
STK-00083,´001105,2,A,,,2026-05-21
STK-00084,250040-892,1,A,,,2026-05-21
STK-00085,02250125-856,1,A,325.7,325.7,2026-05-21
STK-00086,02250125-657,0,A,830.4,0.0,2026-05-21
STK-00087,02250226-353,1,A,1004.9,1004.9,2026-05-21
STK-00088,02250125-705,1,A,1361.4,1361.4,2026-05-21
STK-00089,250031-431,1,A,3333.8,3333.8,2026-05-21
STK-00090,02250056-838,1,A,,,2026-05-21
STK-00091,250025-362,1,A,496.8,496.8,2026-05-21
STK-00092,´047536,1,A,312.6,312.6,2026-05-21
STK-00093,250016-394,1,A,106.3,106.3,2026-05-21
STK-00094,02250129-626,1,A,553.3,553.3,2026-05-21
STK-00095,02250048-822,1,A,70,70,2026-05-21
STK-00096,02250127-175,1,A,306.8,306.8,2026-05-21
STK-00097,C635-0011-03-ONA,2,A,160.7,321.4,2026-05-21
STK-00098,C635-0011-01-ONA,0,A,103.6,0.0,2026-05-21
STK-00099,02250136-694,1,B,520.1,520.1,2026-05-21
STK-00100,1001109498,1,B,,,2026-07-31
STK-00101,2200902017,1,B,,,2026-07-21
STK-00102,1622-7064-04,1,B,,,2026-07-21
STK-00103,CWM150E,2,B,1258.1,2516.2,2026-05-21
STK-00104,4360470-JLG,1,B,62.7,62.7,2026-07-07
STK-00105,LA7 D1064,5,B,,,2026-05-21
STK-00106,3084891,1,B,,,2026-05-21
STK-00107,4935094,1,B,,,2026-05-21
STK-00108,206996,1,B,,,2026-05-21
STK-00109,110-3737,1,B,67,67,2026-05-21
STK-00110,215041,1,B,160,160,2026-05-21
STK-00111,610128,1,B,1933.6,1933.6,2026-05-21
STK-00112,300-4054,1,B,,,2026-05-21
STK-00113,0300-5146,1,B,2202.6,2202.6,2026-05-21
STK-00114,191-1949-07,1,B,912.5,912.5,2026-05-21
STK-00115,02250215-617,2,B,600.9,1201.8,2026-05-21
STK-00116,S/C,1,B,,,2026-05-21
STK-00117,8250-1505,1,B,,,2026-05-21
STK-00118,A41018-B&L,2,B,53,106,2026-05-21
STK-00119,3904981,1,B,77.4,77.4,2026-05-21
STK-00120,306-4287,2,B,,,2026-05-21
STK-00121,300-5372,1,B,,,2026-05-21
STK-00122,300-5985,1,B,2491.8,2491.8,2026-05-21
STK-00123,0191-2216,1,B,,,2026-05-21
STK-00124,418-0098,1,B,,,2026-05-21
STK-00125,307-0623-ONA,1,B,,,2026-05-21
STK-00126,´03004271,1,B,,,2026-05-21
STK-00127,418-0531,1,B,,,2026-05-21
STK-00128,307-9828,1,B,,,2026-05-21
STK-00129,302-1147,1,B,407.3,407.3,2026-05-21
STK-00130,307-0845,1,B,101.1,101.1,2026-05-21
STK-00131,305-0781,1,B,,,2026-05-21
STK-00132,302-1864,1,B,,,2026-05-21
STK-00133,510-0171,4,B,,,2026-05-21
STK-00134,302-0807,1,B,255.8,255.8,2026-05-21
STK-00135,112-0085,1,B,9.4,9.4,2026-05-21
STK-00136,110-3604,1,B,20,20,2026-05-21
STK-00137,309-0561,1,B,,,2026-05-21
STK-00138,380-4744,1,B,,,2026-05-21
STK-00139,309-0269,1,B,160.1,160.1,2026-05-21
STK-00140,115-0129,1,B,,,2026-05-21
STK-00141,308-0784,1,B,88.9,88.9,2026-05-21
STK-00142,353-0094-01,1,B,47.9,47.9,2026-05-21
STK-00143,307-0628,1,B,,,2026-05-21
STK-00144,115-0127,1,B,,,2026-05-21
STK-00145,1812635Q169,1,B,,,2026-05-21
STK-00146,110-1220,1,B,107.2,107.2,2026-05-21
STK-00147,110-1870,1,B,94,94,2026-05-21
STK-00148,115-0128,1,B,,,2026-05-21
STK-00149,320-1601-01,1,B,,,2026-05-21
STK-00150,302-1844,1,B,,,2026-05-21
STK-00151,250000-103,1,B,,,2026-05-21
STK-00152,505-0089,3,B,,,2026-05-21
STK-00153,300-3115-02,1,B,1054,1054,2026-05-21
STK-00154,302-1642,1,B,414,414,2026-05-21
STK-00155,357-0093,1,B,,,2026-05-21
STK-00156,193-0375,1,B,68.4,68.4,2026-05-21
STK-00157,312-0203,1,B,,,2026-05-21
STK-00158,303-0261,1,B,634.9,634.9,2026-05-21
STK-00159,307-1058,1,B,76.9,76.9,2026-05-21
STK-00160,154-0712,1,B,,,2026-05-21
STK-00161,226-4530,1,B,,,2026-05-21
STK-00162,300-5151,2,B,,,2026-05-21
STK-00163,302-1859-01,1,B,,,2026-05-21
STK-00164,302-0807,1,B,255.8,255.8,2026-05-21
STK-00165,309-0438,1,B,,,2026-05-21
STK-00166,300-4099,1,B,,,2026-05-21
STK-00167,300-3160,1,B,,,2026-05-21
STK-00168,0309-0649,1,B,376,376,2026-05-21
STK-00169,307-2577,1,B,1550.4,1550.4,2026-05-21
STK-00170,191-1953,1,B,440.1,440.1,2026-05-21
STK-00171,0320-0876,2,B,172.9,345.8,2026-05-21
STK-00172,320-0505,3,B,61.3,183.89999999999998,2026-05-21
STK-00173,193-0375,1,B,68.4,68.4,2026-05-21
STK-00174,110-1221,1,B,10.6,10.6,2026-05-21
STK-00175,191-1951,2,B,90.9,181.8,2026-05-21
STK-00176,309-0439,1,B,,,2026-05-21
STK-00177,154-0712,1,B,,,2026-05-21
STK-00178,110-1278,1,B,,,2026-05-21
STK-00179,112-0093,2,B,,,2026-05-21
STK-00180,0353-0094-01,1,B,47.9,47.9,2026-05-21
STK-00181,307-2591,1,B,104.4,104.4,2026-05-21
STK-00182,191-1953,1,B,440.1,440.1,2026-05-21
STK-00183,270011-274,1,B,299,299,2026-05-21
STK-00184,LC1D09,1,B,,,2026-08-11
STK-00185,LC1D12F7,1,B,,,2026-08-11
STK-00186,LC1D09F7,1,B,,,2026-08-11
STK-00187,LC1D8,0,B,,,2026-07-06
STK-00188,LRD33,2,B,257.3,514.6,
STK-00189,LC1D80F7,2,B,,,
STK-00190,LC1R2501,3,B,,,2026-08-12
STK-00191,02250215-660,1,B,1085.8,1085.8,2026-07-31
STK-00192,1001178139-JLG,0,B,494,0,2026-07-31
STK-00193,042034RA,2,B,408.4,816.8,2026-08-11
STK-00194,AF25555,0,C,,,2026-05-21
STK-00195,88292046-727,1,C,,,2026-06-16
STK-00196,CC2825,2,C,36.3,72.6,2026-05-21
STK-00197,02250127-684,2,C,,,2026-05-21
STK-00198,MR447,2,C,59.86,119.72,2026-05-21
STK-00199,200F*200H*132,1,C,,,2026-05-21
STK-00200,HD9839,2,C,31.94,63.88,2026-05-21
STK-00201,HD9841,2,C,42.59,85.18,2026-05-21
STK-00202,HD7998,2,C,23.64,47.28,2026-05-21
STK-00203,P150135,1,C,,,2026-05-21
STK-00204,MLX2533,1,C,54.01,54.01,2026-05-21
STK-00205,MR390,1,C,55.37,55.37,2026-05-21
STK-00206,HD3003,1,C,19.15,19.15,2026-05-21
STK-00207,HD8234,1,C,23.15,23.15,2026-05-21
STK-00208,HD9838,1,C,26.21,26.21,2026-05-21
STK-00209,HD9837,3,C,36.11,108.33,2026-05-21
STK-00210,KX77,0,C,33.16,0.0,2026-05-21
STK-00211,P610696,1,C,,,2026-05-21
STK-00212,MR447,1,C,76.05,76.05,2026-05-21
STK-00213,LXS312,1,C,61.07,61.07,2026-05-21
STK-00214,HD5673,1,C,33.51,33.51,2026-05-21
STK-00215,LX1313,1,C,130.24,130.24,2026-05-21
STK-00216,AF26044-FLE,1,C,,,2026-07-06
STK-00217,AF25278,0,C,,,
STK-00218,HF35018,1,C,,,2026-05-21
STK-00219,HF6057,1,C,19.1,19.1,2026-05-21
STK-00220,HF6553,1,C,65.6,65.6,2026-05-21
STK-00221,HF6588,1,C,,,2026-05-21
STK-00222,HF6424,1,C,55.1,55.1,2026-05-21
STK-00223,HF7535,0,C,,,2026-05-21
STK-00224,FF5021,7,C,17,119,2026-05-21
STK-00225,FF5052,1,C,17.1,17.1,2026-05-21
STK-00226,FF5031,1,C,62.8,62.8,2026-05-21
STK-00227,FF5032,1,C,60.9,60.9,2026-05-21
STK-00228,FF5405,2,C,79.4,158.8,2026-05-21
STK-00229,FF5079,2,C,11,22,2026-05-21
STK-00230,HF6141,1,C,,,2026-08-06
STK-00231,FF5624,1,C,,,2026-05-21
STK-00232,FF202,4,C,35.5,142.0,2026-05-21
STK-00233,FF5421,0,C,26.2,0.0,2026-05-21
STK-00234,FS19805,1,C,91.4,91.4,2026-05-21
STK-00235,FS1015,1,C,,,2026-05-21
STK-00236,FS1000,1,C,27.6,27.6,2026-05-21
STK-00237,FS1275,0,C,33.6,0.0,2026-05-21
STK-00238,FS19734,1,C,,,2026-05-21
STK-00239,FS1242,2,C,24.1,48.2,2026-05-21
STK-00240,FS20009,1,C,71.7,71.7,2026-05-21
STK-00241,FS19727-FLE,3,C,41.5,124.5,2026-05-21
STK-00242,FS19972-FLE,1,C,63.2,63.2,2026-05-21
STK-00243,FF203,5,C,34.4,172.0,2026-05-21
STK-00244,FF105,1,C,16.8,16.8,2026-07-06
STK-00245,FF146,4,C,,,2026-05-21
STK-00246,FF5580,0,C,31.3,0.0,2026-05-21
STK-00247,LF3970,0,C,20.3,0.0,2026-05-21
STK-00248,LF700,1,C,21.5,21.5,2026-05-21
STK-00249,LF3345,1,C,17.3,17.3,2026-05-21
STK-00250,LF699,1,C,17.2,17.2,2026-05-21
STK-00251,LF3349,2,C,11.6,23.2,2026-05-21
STK-00252,LF3373,2,C,11.6,23.2,2026-05-21
STK-00253,LF3325,0,C,40.8,0.0,2026-06-09
STK-00254,LF3605,2,C,,,2026-05-21
STK-00255,LF4045,0,C,,,2026-05-21
STK-00256,LF4054-FLE,2,C,21.6,43.2,2026-05-21
STK-00257,LF670,1,C,22.8,22.8,2026-05-21
STK-00258,LF3000,1,C,49.1,49.1,2026-05-21
STK-00259,LF667,3,C,19.2,57.599999999999994,2026-05-21
STK-00260,LF777,1,C,29.5,29.5,2026-05-21
STK-00261,LF701,1,C,18.7,18.7,2026-05-21
STK-00262,LF3573,2,C,,,2026-05-21
STK-00263,LF3883,1,C,42.6,42.6,2026-05-21
STK-00264,LF14000NN,1,C,92,92,2026-05-21
STK-00265,LF9000,4,C,108.5,434.0,2026-05-21
STK-00266,LF9009,0,C,49.1,0.0,2026-05-21
STK-00267,LF691A,2,C,37.9,75.8,2026-05-21
STK-00268,FS1006,0,C,76.8,0.0,2026-06-09
STK-00269,FS19732,2,C,57.6,115.2,2026-05-21
STK-00270,FS19732,5,C,57.6,288.0,
STK-00271,FS19730,4,C,32.2,128.8,2026-05-21
STK-00272,FS1003,1,C,50.3,50.3,2026-05-21
STK-00273,FS1280,2,C,15.9,31.8,2026-05-21
STK-00274,WF2070,0,C,26.6,0.0,2026-05-21
STK-00275,WF2071,0,C,17.8,0.0,2026-05-21
STK-00276,WF2072,2,C,22.4,44.8,2026-05-21
STK-00277,WF2073,1,C,24.1,24.1,2026-05-21
STK-00278,WF2074,1,C,24.1,24.1,2026-05-21
STK-00279,WF2076,0,C,50.55,0.0,2026-05-21
STK-00280,´040146,16,C,111.9,1790.4,2026-05-21
STK-00281,´040649,11,C,123.8,1361.8,2026-05-21
STK-00282,´045672,13,C,414.3,5385.900000000001,2026-05-21
STK-00283,AH19037,0,C,96.9,0.0,2026-05-21
STK-00284,88290015-902,3,C,60.3,180.89999999999998,2026-05-21
STK-00285,88290016-410,6,C,75.6,453.59999999999997,2026-05-21
STK-00286,88290017-056,3,C,62.1,186.3,2026-05-21
STK-00287,88290015-901,2,C,60.3,120.6,2026-05-21
STK-00288,KB8220,5,C,,,2026-05-21
STK-00289,WD719,5,C,,,2026-05-21
STK-00290,23801001.01,4,C,,,2026-05-21
STK-00291,LX3986,2,C,,,2026-05-21
STK-00292,040694RA,3,C,,,2026-05-21
STK-00293,HF6182,0,C,,,2026-05-28
STK-00294,AF1855-FLE,3,C,,,2026-05-29
STK-00295,MC003,2,C,,,2026-07-06
STK-00296,MDH366,1,C GRIS,,,2026-05-27
STK-00297,MR406,1,C GRIS,,,2026-05-27
STK-00298,LA428/S,1,C GRIS,,,2026-05-21
STK-00299,LA87,1,C GRIS,,,2026-05-21
STK-00300,HK1251,1,C GRIS,,,2026-05-21
STK-00301,HK205,1,C GRIS,,,2026-05-21
STK-00302,MDH201,0,C GRIS,,,2026-05-21
STK-00303,MDH362/8,0,C GRIS,,,2026-05-21
STK-00304,MDH291,0,C GRIS,,,2026-05-21
STK-00305,MDH218,2,C GRIS,,,2026-05-21
STK-00306,MR371,1,C GRIS,,,2026-05-21
STK-00307,LX993,1,C GRIS,,,2026-05-21
STK-00308,AA2366,2,C GRIS,,,2026-05-21
STK-00309,HLP4147,1,C GRIS,,,2026-05-21
STK-00310,LX5208,0,C GRIS,,,2026-05-21
STK-00311,LX3486,1,C GRIS,,,2026-05-21
STK-00312,P551808,1,C GRIS,,,2026-05-21
STK-00313,P165675,1,C GRIS,,,2026-05-21
STK-00314,P165569,1,C GRIS,,,2026-05-21
STK-00315,P951419,1,C GRIS,,,2026-05-21
STK-00316,P559000,1,C GRIS,,,2026-05-21
STK-00317,B76,1,C GRIS,,,2026-05-21
STK-00318,BR-1075,2,C GRIS,,,2026-05-21
STK-00319,LX673,1,C GRIS,,,2026-05-21
STK-00320,FAC973,0,C GRIS,,,2026-05-21
STK-00321,4T-GX-3402,0,C GRIS,,,2026-05-21
STK-00322,EF-427,1,C GRIS,,,2026-05-21
STK-00323,HF-3058,2,C GRIS,,,2026-05-21
STK-00324,RE160JQll,2,C GRIS,,,2026-05-21
STK-00325,2120150,1,C GRIS,,,2026-05-21
STK-00326,MR378,3,C GRIS,,,2026-05-21
STK-00327,MR051,1,C GRIS,,,2026-05-21
STK-00328,MR378/S,4,C GRIS,,,2026-05-21
STK-00329,MR366,1,C GRIS,,,2026-05-21
STK-00330,AA1127,5,C GRIS,,,2026-05-21
STK-00331,TR30179,1,C GRIS,,,2026-05-21
STK-00332,BF7675-D,1,C GRIS,,,2026-05-21
STK-00333,AA1436/1E,1,C GRIS,,,2026-05-21
STK-00334,WKU-1001/V,0,C GRIS,,,2026-05-21
STK-00335,AA1288/1,0,C GRIS,,,2026-05-21
STK-00336,HLP2206,0,C GRIS,,,2026-05-21
STK-00337,-,4,C GRIS,,,2026-05-21
STK-00338,LX486,1,C GRIS,,,2026-05-21
STK-00339,3801708-CMM,1,C GRIS,1961,1961,2026-05-21
STK-00340,405158RA,0,C GRIS,225.4,0.0,2026-05-21
STK-00341,405158RA,12,-,225.4,2704.8,2026-05-21
STK-00342,LA1045,0,C GRIS,,,2026-07-06
STK-00343,LX2082/1,1,C GRIS,,,2026-05-21
STK-00344,C1140,1,C GRIS,,,2026-05-21
STK-00345,LX1801,2,C GRIS,,,2026-05-21
STK-00346,MR372,1,C GRIS,,,2026-05-21
STK-00347,FAC887,2,C GRIS,,,
STK-00348,C-70130,1,C GRIS,,,2026-07-06
STK-00349,FF-02FI,1,C GRIS,,,2026-07-06
STK-00350,MDH308,1,C GRIS,,,2026-07-06
STK-00351,MR299,1,C GRIS,,,2026-07-06
STK-00352,270016-209,1,C GRIS,631.3,631.3,2026-07-06
STK-00353,270009-102,4,D,,,2026-05-21
STK-00354,LX265,6,D,,,2026-05-21
STK-00355,270009-103,9,D,,,2026-05-21
STK-00356,LXS 37/1,1,D,,,2026-05-21
STK-00357,V-719,1,D,,,2026-05-21
STK-00358,V-720,2,D,,,2026-05-21
STK-00359,VP-799,1,D,,,
STK-00360,VP-799/S,1,D,,,
STK-00361,LXS5/1,4,D,,,2026-05-21
STK-00362,LX275,4,D,,,2026-05-21
STK-00363,270009-081,4,D,,,2026-05-21
STK-00364,LXS41/1,7,D,,,2026-05-21
STK-00365,270009-082,4,D,,,2026-05-21
STK-00366,LX236,7,D,,,2026-05-21
STK-00367,040899RA,10,D,59,590,2026-05-21
STK-00368,02250102-160RA,0,D,107,0,2026-05-21
STK-00369,02250102-158RA,0,D,,,2026-05-21
STK-00370,02250043-291,0,E,665.3,0.0,2026-07-31
STK-00371,02250164-532RA,2,E,241.4,482.8,2026-07-06
STK-00372,AF25557-FLE,2,E,34.7,69.4,2026-07-06
STK-00373,AF4548,1,E,193.9,193.9,2026-07-06
STK-00374,AF947,2,E,69.6,139.2,2026-07-06
STK-00375,02250125-372,2,E,90,180,2026-07-06
STK-00376,AF25558,4,E,23.5,94.0,2026-07-06
STK-00377,270007-324,2,E,100.6,201.2,2026-07-06
STK-00378,270007-323,1,E,178.1,178.1,2026-07-06
STK-00379,02250137-895,6,E,827.4,4964.4,2026-07-06
STK-00380,02250137-895,5,-,827.4,4137.0,2026-07-06
STK-00381,02250215-617,5,E,600.9,3004.5,2026-07-06
STK-00382,250028-034,1,E,75.5,75.5,2026-07-06
STK-00383,02250156-601,1,E,255.6,255.6,2026-07-06
STK-00384,02250111-804,1,E,169.8,169.8,2026-07-06
STK-00385,02250215-621,5,E,851,4255,2026-07-06
STK-00386,02250127-684,4,E,216.1,864.4,2026-07-06
STK-00387,02250127-684,6,-,216.1,1296.6,2026-07-06
STK-00388,02250139-995,4,E,494.8,1979.2,2026-07-06
STK-00389,250028-033,1,E,369,369,2026-07-06
STK-00390,02250125-372,3,E,90,270,2026-07-06
STK-00391,02250125-372,2,-,90,180,2026-07-06
STK-00392,FA-3453,3,E,,,2026-07-06
STK-00393,FA-3962,1,E,,,2026-07-06
STK-00394,AH1196,1,E,126.9,126.9,2026-07-06
STK-00395,AF26173-FLE,0,E,185.4,0.0,2026-07-06
STK-00396,AH1136,0,E,74.4,0.0,2026-07-06
STK-00397,AF25957,1,E,70.2,70.2,2026-05-21
STK-00398,7139077-TRA,1,F,78.7,78.7,2026-07-06
STK-00399,´000098,10,F,85.4,854.0,2026-07-06
STK-00400,88290014-485,6,F,,,2026-07-06
STK-00401,88290014-485,4,F,110.1,440.4,2026-07-06
STK-00402,88290015-049,5,F,308.7,1543.5,2026-07-06
STK-00403,02250168-084,10,-,381.6,3816.0,2026-07-06
STK-00404,02250168-084,19,F,381.6,7250.400000000001,2026-07-06
STK-00405,250025-526,8,F,189,1512,2026-07-06
STK-00406,250025-526,0,F,189,0,2026-07-06
STK-00407,88290014-484,4,F,88.7,354.8,2026-07-06
STK-00408,88290014-484,5,F,88.7,443.5,2026-07-06
STK-00409,250025-525,5,F,141.5,707.5,2026-07-06
STK-00410,250025-525,5,F,141.5,707.5,2026-07-06
STK-00411,02250125-370,4,F,60,240,2026-07-06
STK-00412,EF-526,1,F,314.4,314.4,2026-07-06
STK-00413,250034-118,1,F,861,861,2026-07-06
STK-00414,88290015-567,5,F,329.2,1646.0,2026-07-06
STK-00415,88290014-486,5,F,95.1,475.5,2026-07-06
STK-00416,02250100-755,2,F,876.3,1752.6,2026-07-06
STK-00417,02250100-755,5,-,876.3,4381.5,2026-07-06
STK-00418,02250100-756,2,F,594.3,1188.6,2026-07-06
STK-00419,02250100-756,5,F,,,2026-07-06
STK-00420,250034-128,1,F,1021.4,1021.4,2026-07-06
STK-00421,250034-128,2,-,1021.4,2042.8,2026-07-06
STK-00422,LX200/HP8528,1,G,,,2026-07-06
STK-00423,02250168-053,2,G,680.7,1361.4,2026-07-06
STK-00424,02250168-053,11,-,680.7,7487.700000000001,2026-07-06
STK-00425,408242,1,G,141.5,141.5,
STK-00426,02250218-885,3,G,1637.9,4913.700000000001,2026-07-06
STK-00427,02250078-031,3,G,503.4,1510.1999999999998,2026-07-06
STK-00428,02250078-031,0,-,503.4,0.0,2026-07-06
STK-00429,250034-112,2,G,638.3,1276.6,2026-07-06
STK-00430,250028-032,3,G,107.1,321.29999999999995,2026-07-06
STK-00431,02250175-063,2,G,238.6,477.2,2026-07-06
STK-00432,02250175-063,1,-,238.6,238.6,2026-07-06
STK-00433,02250175-062,2,G,614.4,1228.8,2026-07-06
STK-00434,02250175-062,4,-,614.4,2457.6,2026-07-06
STK-00435,250015-586,0,G,189,0,2026-07-06
STK-00436,LXS296,1,G,,,2026-07-06
STK-00437,HDS838,1,G,,,2026-07-06
STK-00438,HDS837,3,G,,,2026-07-06
STK-00439,HDS839,1,G,,,2026-07-06
STK-00440,HDS203,1,G,,,2026-07-06
STK-00441,MR366,1,G,,,2026-07-06
STK-00442,6.3672.2,3,G,246,738,2026-07-06
STK-00443,6.3792.2,0,G,,,2026-07-06
STK-00444,6.3462.0,2,G,,,2026-07-06
STK-00445,6.4432.0,6,G,60,360,2026-07-06
STK-00446,6.4434.0,1,G,,,2026-07-22
STK-00447,6.4139.0,1,entrepiso,88,88,2026-08-12
STK-00448,6.3568.0,1,entrepiso,530,530,2026-08-12
STK-00449,6.3464.1,2,G,85,170,2026-08-12
STK-00450,6.4149.2,1,G,95,95,2026-08-12
STK-00451,6.3567.0,1,entrepiso,584,584,2026-08-12
STK-00452,6.4148.0,3,G,220,660,2026-08-12
STK-00453,6.3760.0,1,entrepiso,612,612,2026-08-12
STK-00454,6.3465.0,1,G,190,190,2026-08-12
STK-00455,901524.0,1,G,198,198,2026-08-12
STK-00456,901504.0,1,G,190,190,2026-08-12
STK-00457,6.3623.0,1,entrepiso,,,2026-08-20
STK-00458,1613872000,0,,30,0,
STK-00459,1625480050,0,,30,0,
STK-00460,2903775300,0,,220,0,
STK-00461,1202804003,0,,30,0,
STK-00462,02250135-155,1,G,684.4,684.4,2026-07-06
STK-00463,02250135-155,23,-,684.4,15741.199999999999,2026-07-06
STK-00464,02250155-709,9,G,222.3,2000.7,2026-07-06
STK-00465,02250155-709,11,-,222.3,2445.3,2026-07-06
STK-00466,CF600/1,1,G,,,2026-07-06
STK-00467,HS801 / LXS401,1,G,,,2026-07-06
STK-00468,408107,1,G,112.2,112.2,2026-07-06
STK-00469,AT14879,1,H,,,2026-07-06
STK-00470,02250229-242,1,H,1960.1,1960.1,2026-07-06
STK-00471,250034-087,0,H,999.5,0.0,2026-07-06
STK-00472,250034-086,1,H,1398.1,1398.1,2026-07-06
STK-00473,02250145-897,1,H,697.3,697.3,2026-07-06
STK-00474,250034-120,1,H,1288.5,1288.5,2026-07-06
STK-00475,250034-120,2,-,1288.5,2577.0,2026-07-06
STK-00476,LX3486,0,H,,,2026-07-06
STK-00477,MZ3,1,H,,,2026-08-11
STK-00478,FF-560 R/S,2,H,,,2026-07-06
STK-00479,R28-30M,1,H,,,2026-07-06
STK-00480,R90HDP-VOL,1,H,,,2026-07-06
STK-00481,R90-30M,2,H,,,2026-07-06
STK-00482,FBS490/1,1,H,,,2026-07-06
STK-00483,BC-C2019,5,H,,,2026-07-06
STK-00484,BC-C2008,6,H,,,2026-07-06
STK-00485,500-0480,2,H,,,2026-07-06
STK-00486,436-7077,1,H,,,2026-07-06
STK-00487,1G-8878,1,H,,,2026-07-06
STK-00488,1R-0751,1,H,,,2026-07-06
STK-00489,7W-2326,1,H,,,2026-07-06
STK-00490,G149,2,H,,,2026-07-06
STK-00491,GF704,2,H,,,2026-07-06
STK-00492,DZ118286,2,H,,,2026-07-06
STK-00493,RE62418,1,H,,,2026-07-06
STK-00494,RE62419,1,H,,,2026-07-06
STK-00495,RE504836,2,H,,,2026-07-06
STK-00496,H601/4,1,H,,,2026-07-06
STK-00497,HU721,1,H,,,2026-07-06
