id_movimiento,tipo_movimiento,codigo,cantidad,fecha,comprobante,cliente_proveedor,retira_responsable
MOV-00078,Ingreso,270011-274,1,2025-10-23,,SULLAIR,
MOV-00079,Ingreso,011579RA,1,2021-10-24,,SULLAIR,
MOV-00080,Ingreso,250017-280,1,2025-10-28,0001-00427900,SULLAIR,
MOV-00081,Ingreso,042034RA,6,2025-10-28,0001-00427934,SULLAIR,
MOV-00082,Ingreso,70031074-TRA,12,2025-10-28,0001-00427934,SULLAIR,
MOV-00083,Ingreso,70030307-TRA,12,2025-10-28,0001-00427934,SULLAIR,
MOV-00084,Ingreso,1319612-TRA,2,2025-10-28,0001-00427934,SULLAIR,
MOV-00085,Ingreso,1319593-TRA,1,2025-10-28,0001-00427934,SULLAIR,
MOV-00086,Ingreso,1319594-TRA,1,2025-10-28,0001-00427934,SULLAIR,
MOV-00087,Ingreso,8036190-TRA,1,2025-10-28,0001-00427934,SULLAIR,
MOV-00088,Ingreso,049905RA,1,2025-10-31,,,
MOV-00089,Ingreso,LXS261,2,2025-11-03,,,
MOV-00090,Ingreso,LX1056,1,2025-11-03,,,
MOV-00091,Ingreso,LX1070,1,2025-11-03,,,
MOV-00092,Ingreso,LXS260,1,2025-11-03,,,
MOV-00093,Ingreso,R90-30M,1,2025-11-03,,,
MOV-00094,Ingreso,KC83,4,2025-11-03,,,
MOV-00095,Ingreso,OX399/2D,3,2025-11-03,,,
MOV-00096,Ingreso,HLP5053,1,2025-11-03,,,
MOV-00097,Ingreso,OC988,3,2025-11-03,,,
MOV-00098,Ingreso,ML1000G,2,2025-11-03,,,
MOV-00099,Ingreso,02250193-574,1,2025-11-04,,,
MOV-00100,Ingreso,02250193-597,1,2025-11-04,,,
MOV-00101,Ingreso,02250193-567,1,2025-11-04,,,
MOV-00102,Ingreso,02250193-589,1,2025-11-04,,,
MOV-00103,Ingreso,KC454,1,2025-11-10,,,
MOV-00104,Ingreso,ML5052G,1,2025-11-10,,,
MOV-00105,Ingreso,FS19727,1,2025-11-12,,FLEETGUARD,
MOV-00106,Ingreso,02250155-709,6,2025-11-12,001-00428998,SULLAIR,
MOV-00107,Ingreso,02250135-150,1,2025-11-12,001-00428998,,
MOV-00108,Ingreso,02250218-885,2,2025-11-12,001-00428998,,
MOV-00109,Ingreso,250034-085,1,2025-11-12,001-00428998,,
MOV-00110,Ingreso,02250048-734,1,2025-11-12,001-00428998,,
MOV-00111,Ingreso,88290014-485,2,2025-11-12,001-00428998,,
MOV-00112,Ingreso,02250125-372,1,2025-11-12,001-00428998,,
MOV-00113,Ingreso,AF26173-FLE,3,2025-11-12,001-00428998,,
MOV-00114,Ingreso,02250139-995,1,2025-11-12,001-00428998,,
MOV-00115,Ingreso,C635-0011-03-ONA,2,2025-11-12,001-00428998,,
MOV-00116,Ingreso,02250224-269,1,2025-11-12,001-00428998,,
MOV-00117,Ingreso,S00301-238,1,2025-11-12,001-00428998,,
MOV-00118,Ingreso,0400055-JLG,8,2025-11-12,001-00428998,,
MOV-00119,Ingreso,250019-453,2,2025-11-12,001-00428998,,
MOV-00120,Ingreso,02250196-470,1,2025-11-13,,,
MOV-00121,Ingreso,AL12,3,2025-11-18,,REPCENTER,
MOV-00122,Ingreso,OC370,1,2025-11-18,,REPCENTER,
MOV-00123,Ingreso,FS04/7,2,2025-11-18,,REPCENTER,
MOV-00124,Ingreso,LB619,3,2025-11-18,,REPCENTER,
MOV-00125,Ingreso,ML5052G,3,2025-11-18,,ECHANIZ,
MOV-00126,Ingreso,ML1000G,1,2025-11-18,,ECHANIZ,
MOV-00127,Ingreso,ML1212G,2,2025-11-18,,ECHANIZ,
MOV-00128,Ingreso,ML1280G,3,2025-11-18,,ECHANIZ,
MOV-00129,Ingreso,AC314,3,2025-11-18,,ECHANIZ,
MOV-00130,Ingreso,AC763,2,2025-11-18,,ECHANIZ,
MOV-00131,Ingreso,AC341,2,2025-11-18,,ECHANIZ,
MOV-00132,Ingreso,88290017-056,3,2025-11-27,0001-00429553,SULLAIR,
MOV-00133,Ingreso,02250235-913,1,2025-11-27,0001-00429553,SULLAIR,
MOV-00134,Ingreso,02250087-070,1,2025-11-27,0001-00429553,SULLAIR,
MOV-00135,Ingreso,02250093-806,1,2025-11-27,0001-00429553,SULLAIR,
MOV-00136,Ingreso,02250098-622,1,2025-11-27,0001-00429553,SULLAIR,
MOV-00137,Ingreso,826502-215,1,2025-11-27,0001-00429553,SULLAIR,
MOV-00138,Ingreso,250019-453,2,2025-11-27,0001-00429553,SULLAIR,
MOV-00139,Ingreso,250019-451,1,2025-11-27,0001-00429553,SULLAIR,
MOV-00140,Ingreso,02250196-470,1,2025-11-27,0001-00429553,SULLAIR,
MOV-00141,Ingreso,02250155-714,1,2025-11-27,0001-00429703,SULLAIR,
MOV-00142,Ingreso,250019-453,1,2025-11-27,0001-00429703,SULLAIR,
MOV-00143,Ingreso,02250196-470,1,2025-11-27,0001-00429703,SULLAIR,
MOV-00144,Ingreso,1006-3296,1,2026-01-07,0001-00431751,SULLAIR,
MOV-00145,Ingreso,02250193-572,1,2026-01-07,0001-00431751,SULLAIR,
MOV-00146,Ingreso,02250078-031,1,2026-01-07,0001-00431751,SULLAIR,
MOV-00147,Ingreso,250025-526,2,2026-01-07,0001-00431751,SULLAIR,
MOV-00148,Ingreso,250028-032,1,2026-01-07,0001-00431751,SULLAIR,
MOV-00149,Ingreso,02250221-211,1,2026-01-07,0001-00431751,SULLAIR,
MOV-00150,Ingreso,ML5052G,2,2026-01-08,,MOTORLINE,
MOV-00151,Ingreso,250022-669,9,2026-01-09,0001-00431509,SULLAIR,
MOV-00152,Ingreso,02250193-567,1,,,,
MOV-00153,Ingreso,02250193-589,11,,,,
MOV-00154,Ingreso,02250194-958,1,,,,
MOV-00155,Ingreso,02250194-957,1,,,,
MOV-00156,Ingreso,02250137-895,1,,,,
MOV-00157,Ingreso,250025-526,1,,,,
MOV-00158,Ingreso,250034-085,1,,,,
MOV-00159,Ingreso,02250048-734,1,,,,
MOV-00160,Ingreso,FF5421-FLE,1,,,,
MOV-00161,Ingreso,8320265-TRA,1,,,,
MOV-00162,Ingreso,7139077-TRA,1,,,,
MOV-00163,Ingreso,FS1000,1,2026-01-20,,,
MOV-00164,Ingreso,LF3345,1,2026-01-20,,,
MOV-00165,Ingreso,FF5079,1,2026-01-20,,,
MOV-00166,Ingreso,FS1242,1,2026-01-20,,,
MOV-00167,Ingreso,7139077,1,2026-01-20,,,
MOV-00168,Ingreso,02250105-553,1,2026-01-21,,,
MOV-00169,Ingreso,250022-669,6,2026-01-21,,,
MOV-00170,Ingreso,250034-085,1,2026-01-22,0001-00432512,,
MOV-00171,Ingreso,02250048-734,1,2026-01-22,0001-00432512,,
MOV-00172,Ingreso,02250215-617,1,2026-01-22,0001-00432512,,
MOV-00173,Ingreso,02250155-709,1,2026-01-22,0001-00432512,,
MOV-00174,Ingreso,02250145-625,2,2026-01-22,0001-00432512,,
MOV-00175,Ingreso,250019-453,1,2026-01-22,0001-00432512,,
MOV-00176,Ingreso,02250196-470,1,2026-01-22,0001-00432512,,
MOV-00177,Ingreso,02250155-709,1,2026-01-23,0001-00432727,,
MOV-00178,Ingreso,02250125-372,3,2026-01-23,0001-00432727,,
MOV-00179,Ingreso,02250215-617,4,2026-01-23,0001-00432727,,
MOV-00180,Ingreso,02250215-621,2,2026-01-23,0001-00432727,,
MOV-00181,Ingreso,248755,1,2026-01-23,0001-00432727,,
MOV-00182,Ingreso,02250127-175,1,2026-01-27,,SULLAIR,
MOV-00183,Ingreso,250025-364,1,2026-01-27,,SULLAIR,
MOV-00184,Ingreso,C635-0011-03,2,2026-01-27,,CUMMINS,
MOV-00185,Ingreso,´004125,6,2026-01-29,0007-00048738,REPCENTER,
MOV-00186,Ingreso,´004060,6,2026-01-29,0007-00048738,REPCENTER,
MOV-00187,Ingreso,KC637,1,2026-01-29,0007-00048738,REPCENTER,
MOV-00188,Ingreso,KC595,1,2026-01-29,0007-00048738,REPCENTER,
MOV-00189,Ingreso,HD9837/LX1070,1,2026-01-29,0007-00048738,REPCENTER,
MOV-00190,Ingreso,HDS837LXS261,1,2026-01-29,0007-00048738,REPCENTER,
MOV-00191,Ingreso,WF2071,1,2026-01-29,0007-00048738,REPCENTER,
MOV-00192,Ingreso,AL12,2,2026-01-29,0007-00048738,REPCENTER,
MOV-00193,Ingreso,02250139-995,4,2026-01-30,0001-00433057,SULLAIR,
MOV-00194,Ingreso,02250175-062,2,2026-01-30,0001-00433057,SULLAIR,
MOV-00195,Ingreso,02250175-063,2,2026-01-30,0001-00433057,SULLAIR,
MOV-00196,Ingreso,408107,1,2026-01-30,0001-00433057,SULLAIR,
MOV-00197,Ingreso,02250215-617,2,2026-01-30,0001-00433057,SULLAIR,
MOV-00198,Ingreso,02250215-621,2,2026-01-30,0001-00433057,SULLAIR,
MOV-00199,Ingreso,02250168-053,2,2026-01-30,0001-00433057,SULLAIR,
MOV-00200,Ingreso,02250168-084,1,2026-01-30,0001-00433057,SULLAIR,
MOV-00201,Ingreso,250028-032,1,2026-01-30,0001-00433057,SULLAIR,
MOV-00202,Ingreso,250025-526,2,2026-01-30,0001-00433057,SULLAIR,
MOV-00203,Ingreso,02250117-782,2,2026-01-30,0001-00433057,SULLAIR,
MOV-00204,Ingreso,02250193-535,4,2026-01-30,0001-00433057,SULLAIR,
MOV-00205,Ingreso,02250196-470,1,2026-01-30,0001-00433057,SULLAIR,
MOV-00206,Ingreso,OC26,2,2026-01-03,00058-00069381,ECHANIZ,
MOV-00207,Ingreso,OC175,2,2026-01-03,00058-00069381,ECHANIZ,
MOV-00208,Ingreso,KX67/2D,2,2026-01-03,00058-00069381,ECHANIZ,
MOV-00209,Ingreso,KC440,2,2026-01-03,00058-00069381,ECHANIZ,
MOV-00210,Ingreso,OX161/D,2,2026-01-03,00058-00069381,ECHANIZ,
MOV-00211,Ingreso,HD932-2 X,2,2026-02-09,0011-00817357,MANN,
MOV-00212,Ingreso,7013301-JLG,1,2026-02-10,0001-00433360,SULLAIR,
MOV-00213,Ingreso,02250193-571,3,2026-02-10,0001-00433576,SULLAIR,
MOV-00214,Ingreso,02250193-593,3,2026-02-10,0001-00433576,SULLAIR,
MOV-00215,Ingreso,88290014-485,9,2026-02-10,0001-00433576,SULLAIR,
MOV-00216,Ingreso,02250226-353,1,2026-02-10,0001-00433576,SULLAIR,
MOV-00217,Ingreso,250041-638,1,2026-02-10,0001-00433576,SULLAIR,
MOV-00218,Ingreso,HD9841/LS2621,2,2026-02-11,0007-00049378,REPCENTER,
MOV-00219,Ingreso,HD9837/LX1070,2,2026-02-11,0007-00049378,REPCENTER,
MOV-00220,Ingreso,HDS837/LXS261,2,2026-02-11,0007-00049378,REPCENTER,
MOV-00221,Ingreso,P5113,1,2026-02-13,00058-00069487,ECHANIZ,
MOV-00222,Ingreso,AL12,2,2026-02-13,00058-00069487,ECHANIZ,
MOV-00223,Ingreso,KX710D,2,2026-02-13,00058-00069487,ECHANIZ,
MOV-00224,Ingreso,VP-1748,1,2026-02-13,0007-00049589,REPCENTER,
MOV-00225,Ingreso,VP-1748/S,1,2026-02-13,0007-00049589,REPCENTER,
MOV-00226,Ingreso,G-1316,1,2026-02-13,0007-00049589,REPCENTER,
MOV-00227,Ingreso,FF5272,1,2026-02-13,0007-00049557,REPCENTER,
MOV-00228,Ingreso,HF35305,1,2026-02-13,0007-00049557,REPCENTER,
MOV-00229,Ingreso,HF9500,1,2026-02-13,0007-00049557,REPCENTER,
MOV-00230,Ingreso,FS19914,1,2026-02-13,0007-00049557,REPCENTER,
MOV-00231,Ingreso,LF3400,1,2026-02-13,0007-00049557,REPCENTER,
MOV-00232,Ingreso,LF16011,1,2026-02-13,0007-00049557,REPCENTER,
MOV-00233,Ingreso,FF149,1,2026-02-13,0007-00049557,REPCENTER,
MOV-00234,Ingreso,FS20009,1,2026-02-18,0007-00049630,REPCENTER,
MOV-00235,Ingreso,HF35018,1,2026-02-18,0007-00049630,REPCENTER,
MOV-00236,Ingreso,VP-2709/S,1,2026-02-18,0007-00049630,REPCENTER,
MOV-00237,Ingreso,250018-427,2,2026-02-24,0001-00434128,SULLAIR,
MOV-00238,Ingreso,88290015-890,1,2026-02-24,0001-00434128,SULLAIR,
MOV-00239,Ingreso,88290015-891,1,2026-02-24,0001-00434128,SULLAIR,
MOV-00240,Ingreso,270016-209,1,2026-02-24,0001-00434128,SULLAIR,
MOV-00241,Ingreso,250019-453,3,2026-02-24,0001-00434128,SULLAIR,
MOV-00242,Ingreso,02250152-670,1,2026-02-24,0001-00434128,SULLAIR,
MOV-00243,Ingreso,88290017-056,6,2026-02-24,0001-00434137,SULLAIR,
MOV-00244,Ingreso,68MR1600,1,2026-02-24,0001-00434137,SULLAIR,
MOV-00245,Ingreso,68CJ0825,1,2026-02-24,0001-00434137,SULLAIR,
MOV-00246,Ingreso,68723227,1,2026-02-24,0001-00434137,SULLAIR,
MOV-00247,Ingreso,68CJ0026,1,2026-02-24,0001-00434137,SULLAIR,
MOV-00248,Ingreso,68722579,1,2026-02-24,0001-00434137,SULLAIR,
MOV-00249,Ingreso,68723244,1,2026-02-24,0001-00434137,SULLAIR,
MOV-00250,Ingreso,68MR1301,1,2026-02-24,0001-00434137,SULLAIR,
MOV-00251,Ingreso,68780320,1,2026-02-24,0001-00434137,SULLAIR,
MOV-00252,Ingreso,FS19732,4,2026-02-26,0001-00434251,SULLAIR,
MOV-00253,Ingreso,FF5580,4,2026-02-26,0001-00434251,SULLAIR,
MOV-00254,Ingreso,02250111-804,1,2026-02-26,0001-00434251,SULLAIR,
MOV-00255,Ingreso,250028-032,1,2026-02-26,0001-00434251,SULLAIR,
MOV-00256,Ingreso,02250215-617,1,2026-02-26,0001-00434251,SULLAIR,
MOV-00257,Ingreso,02250215-621,3,2026-02-26,0001-00434251,SULLAIR,
MOV-00258,Ingreso,02250168-084,2,2026-02-26,0001-00434251,SULLAIR,
MOV-00259,Ingreso,02250127-684,2,2026-02-26,0001-00434251,SULLAIR,
MOV-00260,Ingreso,882914-485,4,2026-02-26,0001-00434251,SULLAIR,
MOV-00261,Ingreso,02250193-535,2,2026-02-26,0001-00434251,SULLAIR,
MOV-00262,Ingreso,WF2074,1,2026-02-26,0007-00050126,REPCENTER,
MOV-00263,Ingreso,KX24,1,2026-02-26,0007-00050126,REPCENTER,
MOV-00264,Ingreso,LF3970,1,2026-02-26,0007-00050126,REPCENTER,
MOV-00265,Ingreso,FBS490/1,1,2026-02-26,0007-00050126,REPCENTER,
MOV-00266,Ingreso,FBS480/1,1,2026-02-26,0007-00050126,REPCENTER,
MOV-00267,Ingreso,LE119,1,2026-02-26,0007-00050126,REPCENTER,
MOV-00268,Ingreso,02250194-922,1,2026-02-25,0001-00434392,SULLAIR,
MOV-00269,Ingreso,02250194-924,1,2026-02-25,0001-00434392,SULLAIR,
MOV-00270,Ingreso,FS19732,2,2026-02-25,0001-00434392,SULLAIR,
MOV-00271,Ingreso,88290014-484,6,2026-02-25,0001-00434392,SULLAIR,
MOV-00272,Ingreso,88290014-485,5,2026-02-25,0001-00434392,SULLAIR,
MOV-00273,Ingreso,02250215-621,1,2026-02-25,0001-00434392,SULLAIR,
MOV-00274,Ingreso,88290014-486,2,2026-02-25,0001-00434392,SULLAIR,
MOV-00275,Ingreso,88290014-567,2,2026-02-25,0001-00434392,SULLAIR,
MOV-00276,Ingreso,02250155-709,2,2026-02-25,0001-00434392,SULLAIR,
MOV-00277,Ingreso,250025-525,1,2026-02-25,0001-00434392,SULLAIR,
MOV-00278,Ingreso,02250164-606,2,2026-02-25,0001-00434392,SULLAIR,
MOV-00279,Ingreso,S00301-238,2,2026-02-25,0001-00434392,SULLAIR,
MOV-00280,Ingreso,250022-669,16,2026-02-25,0001-00434392,SULLAIR,
MOV-00281,Ingreso,LF9009,4,2026-03-03,0007-00050407,REPCENTER,
MOV-00282,Ingreso,WF2076,4,2026-03-03,0007-00050407,REPCENTER,
MOV-00283,Ingreso,V-720,1,2026-03-03,0007-00050407,REPCENTER,
MOV-00284,Ingreso,V-719,1,2026-03-03,0007-00050407,REPCENTER,
MOV-00285,Ingreso,CE3022,1,2026-03-03,0007-00050407,REPCENTER,
MOV-00286,Ingreso,LE119,1,2026-03-03,0007-00050407,REPCENTER,
MOV-00287,Ingreso,FS41,2,2026-03-03,0007-00050407,REPCENTER,
MOV-00288,Ingreso,MR372,2,2026-03-04,00058-00069652,ECHANIZ,
MOV-00289,Ingreso,6205-2Z/C3,1,2026-03-10,00014-00026335,Aldo F Benito e Hijos,
MOV-00290,Ingreso,6204-2C/C3,1,2026-03-10,00014-00026335,Aldo F Benito e Hijos,
MOV-00291,Ingreso,6311-2RS1/C3,1,2026-03-10,00014-00026335,Aldo F Benito e Hijos,
MOV-00292,Ingreso,6211-2RS1/C3,1,2026-03-10,00014-00026335,Aldo F Benito e Hijos,
MOV-00293,Ingreso,30204-NSK,2,2026-03-10,00014-00026335,Aldo F Benito e Hijos,
MOV-00294,Ingreso,32206/VA983,1,2026-03-10,00014-00026335,Aldo F Benito e Hijos,
MOV-00295,Ingreso,NU 2206 ECP/C3,1,2026-03-10,00014-00026335,Aldo F Benito e Hijos,
MOV-00296,Ingreso,OX153/7D,1,2026-03-13,00058-00069745,ECHANIZ,
MOV-00297,Ingreso,LX1845,1,2026-03-13,00058-00069745,ECHANIZ,
MOV-00298,Ingreso,AC975,1,2026-03-13,00058-00069745,ECHANIZ,
MOV-00299,Ingreso,MR331,1,2026-03-13,00058-00069745,ECHANIZ,
MOV-00300,Ingreso,250034-116,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00301,Ingreso,250042-862,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00302,Ingreso,FS19732,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00303,Ingreso,02250100-755,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00304,Ingreso,02250100-756,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00305,Ingreso,02250137-895,3,2026-03-13,0001-004352226,SULLAIR,
MOV-00306,Ingreso,FS1275,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00307,Ingreso,0140-4317,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00308,Ingreso,0140-4318,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00309,Ingreso,02250069-073,1,2026-03-13,0001-004352226,SULLAIR,
MOV-00310,Ingreso,02250193-535,2,2026-03-13,0001-004352226,SULLAIR,
MOV-00311,Ingreso,AF1855,1,2026-03-13,0001-00435225,SULLAIR,
MOV-00312,Ingreso,02250194-918,1,2026-03-13,0001-00435225,SULLAIR,
MOV-00313,Ingreso,02250194-916,1,2026-03-13,0001-00435225,SULLAIR,
MOV-00314,Ingreso,FF5580,4,2026-03-13,0001-00435225,SULLAIR,
MOV-00315,Ingreso,FS19732,4,2026-03-13,0001-00435225,SULLAIR,
MOV-00316,Ingreso,250034-087,1,2026-03-13,0001-00435225,SULLAIR,
MOV-00317,Ingreso,02250127-684,3,2026-03-13,0001-00435225,SULLAIR,
MOV-00318,Ingreso,02250215-621,1,2026-03-13,0001-00435225,SULLAIR,
MOV-00319,Ingreso,02250155-709,1,2026-03-13,0001-00435225,SULLAIR,
MOV-00320,Ingreso,02250137-895,1,2026-03-13,0001-00435225,SULLAIR,
MOV-00321,Ingreso,250031-771,2,2026-03-13,0001-00435225,SULLAIR,
MOV-00322,Ingreso,02250222-783,1,2026-03-13,0001-00435225,SULLAIR,
MOV-00323,Ingreso,CC2848,2,2026-03-13,0001-00435225,SULLAIR,
MOV-00324,Ingreso,02250196-470,2,2026-03-13,0001-00435225,SULLAIR,
MOV-00325,Ingreso,AH19037,1,2026-03-16,0007-00051026,REPCENTER,
MOV-00326,Ingreso,02250193-594,2,2026-03-16,,IMPORTADO,
MOV-00327,Ingreso,02250193-572,2,2026-03-16,,IMPORTADO,
MOV-00328,Ingreso,02250194-972,1,2026-03-16,,IMPORTADO,
MOV-00329,Ingreso,02250194-924,3,2026-03-16,,IMPORTADO,
MOV-00330,Ingreso,02250194-922,3,2026-03-16,,IMPORTADO,
MOV-00331,Ingreso,02250193-593,1,2026-03-16,,IMPORTADO,
MOV-00332,Ingreso,02250193-591,1,2026-03-16,,IMPORTADO,
MOV-00333,Ingreso,02250194-973,1,2026-03-16,,IMPORTADO,
MOV-00334,Ingreso,02250193-593,1,2026-03-16,,IMPORTADO,
MOV-00335,Ingreso,02250193-569,1,2026-03-16,,IMPORTADO,
MOV-00336,Ingreso,02250194-957,2,2026-03-16,,IMPORTADO,
MOV-00337,Ingreso,02250194-958,2,2026-03-16,,IMPORTADO,
MOV-00338,Ingreso,02250193-588,1,2026-03-16,,IMPORTADO,
MOV-00339,Ingreso,02250193-589,2,2026-03-16,,IMPORTADO,
MOV-00340,Ingreso,02250193-567,2,2026-03-16,,IMPORTADO,
MOV-00341,Ingreso,02250193-566,2,2026-03-16,,IMPORTADO,
MOV-00342,Ingreso,02250193-587,2,2026-03-16,,IMPORTADO,
MOV-00343,Ingreso,02250193-565,1,2026-03-16,,IMPORTADO,
MOV-00344,Ingreso,`040899,1,2026-03-16,,IMPORTADO,
MOV-00345,Ingreso,´042582,1,2026-03-17,0001-00435455,SULLAIR,
MOV-00346,Ingreso,02250155-709,10,2026-03-19,0001-00435578,SULLAIR,
MOV-00347,Ingreso,02250125-372,10,2026-03-19,0001-00435578,SULLAIR,
MOV-00348,Ingreso,02250215-617,3,2026-03-19,0001-00435578,SULLAIR,
MOV-00349,Ingreso,02250078-031,1,2026-03-19,0001-00435578,SULLAIR,
MOV-00350,Ingreso,1001186466,1,2026-03-19,0001-00435578,SULLAIR,
MOV-00351,Ingreso,4360371,1,2026-03-19,0001-00435578,SULLAIR,
MOV-00352,Ingreso,250019-451,1,2026-03-19,0001-00435578,SULLAIR,
